日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202105060700,1787.1,1787.5,1786.8,1787.1,1787.5,1788.1,1787.2,1787.5
202105060701,1787.1,1787.1,1786.9,1787.1,1787.5,1787.5,1787.3,1787.5
202105060702,1787,1787.2,1787,1787.2,1787.4,1787.6,1787.4,1787.6
202105060703,1787.2,1787.2,1786.9,1787,1787.6,1787.6,1787.3,1787.4
202105060704,1787,1787,1786.7,1786.7,1787.4,1787.4,1787.1,1787.1
202105060705,1786.7,1786.8,1786.4,1786.6,1787.1,1787.2,1786.8,1787
202105060706,1786.6,1786.7,1786.3,1786.4,1787,1787.1,1786.7,1786.8
202105060707,1786.4,1786.7,1786.3,1786.5,1786.8,1787.1,1786.7,1786.9
202105060708,1786.5,1786.8,1786.5,1786.6,1786.9,1787.2,1786.9,1787
202105060709,1786.6,1786.7,1786.6,1786.6,1787,1787.1,1787,1787
202105060710,1786.6,1786.7,1786.5,1786.5,1787,1787.1,1786.9,1786.9
202105060711,1786.5,1786.8,1786.5,1786.8,1786.9,1787.2,1786.9,1787.2
202105060712,1786.8,1786.9,1786.7,1786.7,1787.2,1787.3,1787.1,1787.1
202105060713,1786.7,1786.9,1786.6,1786.9,1787.1,1787.3,1787,1787.3
202105060714,1786.9,1787.1,1786.8,1786.9,1787.3,1787.5,1787.2,1787.3
202105060715,1786.9,1787.3,1786.9,1787.1,1787.3,1787.7,1787.3,1787.5
202105060716,1787.1,1787.1,1787,1787,1787.5,1787.5,1787.4,1787.4
202105060717,1787.1,1787.1,1787.1,1787.1,1787.5,1787.5,1787.5,1787.5
202105060718,1787.1,1787.1,1786.9,1786.9,1787.5,1787.5,1787.3,1787.3
202105060719,1786.9,1786.9,1786.9,1786.9,1787.3,1787.3,1787.3,1787.3
202105060720,1786.9,1786.9,1786.8,1786.9,1787.3,1787.3,1787.2,1787.3
202105060721,1786.9,1786.9,1786.8,1786.9,1787.3,1787.3,1787.2,1787.3
202105060722,1786.9,1787.1,1786.8,1787.1,1787.3,1787.5,1787.2,1787.5
202105060723,1787.1,1787.2,1787,1787,1787.5,1787.6,1787.4,1787.4
202105060724,1787,1787,1787,1787,1787.4,1787.4,1787.4,1787.4
202105060725,1787,1787,1786.9,1786.9,1787.4,1787.4,1787.3,1787.3
202105060726,1786.9,1787,1786.6,1786.6,1787.3,1787.4,1787,1787
202105060727,1786.6,1786.6,1786.5,1786.6,1787,1787,1786.9,1787
202105060728,1786.6,1786.8,1786.6,1786.8,1787,1787.2,1787,1787.2
202105060729,1786.8,1786.8,1786.6,1786.6,1787.2,1787.2,1787,1787
202105060730,1786.6,1786.8,1786.6,1786.8,1787,1787.2,1787,1787.2
202105060731,1786.8,1787,1786.8,1786.9,1787.2,1787.4,1787.2,1787.3
202105060732,1786.9,1786.9,1786.5,1786.5,1787.3,1787.3,1786.9,1786.9
202105060733,1786.5,1786.6,1786.5,1786.6,1786.9,1787,1786.9,1787
202105060734,1786.6,1786.6,1786.4,1786.4,1787,1787,1786.8,1786.8
202105060735,1786.4,1786.6,1786.3,1786.6,1786.8,1787,1786.7,1787
202105060736,1786.6,1786.7,1786.6,1786.7,1787,1787.1,1787,1787.1
202105060737,1786.7,1786.7,1786.5,1786.6,1787.1,1787.1,1786.9,1787
202105060738,1786.6,1786.6,1786.5,1786.5,1787,1787,1786.9,1786.9
202105060739,1786.5,1786.5,1786.5,1786.5,1786.9,1786.9,1786.9,1786.9
202105060740,1786.5,1786.6,1786.5,1786.5,1786.9,1787,1786.9,1786.9
202105060741,1786.5,1786.5,1786.4,1786.4,1786.9,1786.9,1786.8,1786.8
202105060742,1786.4,1786.4,1786.3,1786.3,1786.8,1786.8,1786.7,1786.7
202105060743,1786.3,1786.3,1786.2,1786.2,1786.7,1786.7,1786.6,1786.6
202105060744,1786.2,1786.3,1786.1,1786.2,1786.6,1786.7,1786.5,1786.6
202105060745,1786.2,1786.4,1786.1,1786.4,1786.6,1786.8,1786.5,1786.8
202105060746,1786.5,1786.6,1786.4,1786.6,1786.9,1787,1786.8,1787
202105060747,1786.6,1786.7,1786.6,1786.6,1787,1787.1,1787,1787
202105060748,1786.6,1786.6,1786.4,1786.4,1787,1787,1786.8,1786.8
202105060749,1786.4,1786.4,1786.4,1786.4,1786.8,1786.8,1786.8,1786.8
202105060750,1786.4,1786.4,1786.3,1786.3,1786.8,1786.8,1786.7,1786.7
202105060751,1786.3,1786.3,1786.1,1786.1,1786.7,1786.7,1786.5,1786.5
202105060752,1786.1,1786.1,1786.1,1786.1,1786.5,1786.5,1786.5,1786.5
202105060753,1786.1,1786.1,1786,1786,1786.5,1786.5,1786.4,1786.4
202105060754,1786,1786,1785.8,1785.9,1786.4,1786.4,1786.2,1786.3
202105060755,1785.8,1785.8,1785.7,1785.8,1786.2,1786.2,1786.1,1786.2
202105060756,1785.8,1785.8,1785.7,1785.8,1786.2,1786.2,1786.1,1786.2
202105060757,1785.8,1785.9,1785.7,1785.9,1786.2,1786.3,1786.1,1786.3
202105060758,1785.9,1785.9,1785.8,1785.8,1786.3,1786.3,1786.2,1786.2
202105060759,1785.8,1785.8,1785.6,1785.6,1786.2,1786.2,1786,1786
202105060800,1785.6,1786.4,1785.6,1786.4,1786,1786.8,1786,1786.8
202105060801,1786.4,1786.6,1786.4,1786.6,1786.8,1787,1786.8,1787
202105060802,1786.6,1786.8,1786.5,1786.8,1787,1787.2,1786.9,1787.2
202105060803,1786.8,1786.8,1786.5,1786.5,1787.2,1787.2,1786.9,1786.9
202105060804,1786.4,1786.5,1786.4,1786.4,1786.8,1786.9,1786.8,1786.8
202105060805,1786.4,1786.4,1786.2,1786.2,1786.8,1786.8,1786.6,1786.6
202105060806,1786.2,1786.2,1785.9,1785.9,1786.6,1786.6,1786.3,1786.3
202105060807,1785.9,1785.9,1785.8,1785.8,1786.3,1786.3,1786.2,1786.2
202105060808,1785.8,1785.8,1785.7,1785.7,1786.2,1786.2,1786.1,1786.1
202105060809,1785.7,1785.7,1785.6,1785.6,1786.1,1786.1,1786,1786
202105060810,1785.6,1785.7,1785.5,1785.5,1786,1786.1,1785.9,1785.9
202105060811,1785.5,1785.7,1785.5,1785.6,1785.9,1786.1,1785.9,1786
202105060812,1785.6,1785.6,1785.4,1785.4,1786,1786,1785.8,1785.8
202105060813,1785.4,1785.4,1785.3,1785.3,1785.8,1785.8,1785.7,1785.7
