日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202209140700,1701.5,1701.8,1701,1701.2,1702.1,1702.4,1701.7,1701.8
202209140701,1701.3,1701.6,1701.3,1701.6,1701.7,1702,1701.7,1702
202209140702,1701.6,1701.6,1701,1701.1,1702,1702,1701.4,1701.5
202209140703,1701.1,1701.2,1701,1701.1,1701.5,1701.6,1701.4,1701.5
202209140704,1701.1,1701.2,1701,1701.1,1701.5,1701.7,1701.4,1701.5
202209140705,1701,1701.1,1700.6,1700.6,1701.5,1701.6,1701.1,1701.1
202209140706,1700.6,1700.7,1700.6,1700.6,1701.1,1701.2,1701,1701.1
202209140707,1700.7,1701,1700.5,1700.6,1701.2,1701.5,1701.1,1701.1
202209140708,1700.6,1700.8,1700.5,1700.8,1701.1,1701.2,1701,1701.2
202209140709,1700.8,1701.3,1700.8,1701.3,1701.2,1701.8,1701.2,1701.7
202209140710,1701.4,1701.6,1701.2,1701.6,1701.8,1702,1701.6,1702
202209140711,1701.6,1701.7,1701.5,1701.5,1702,1702.1,1701.9,1701.9
202209140712,1701.5,1701.6,1701.5,1701.6,1701.9,1702,1701.9,1702
202209140713,1701.6,1701.6,1701.5,1701.6,1702,1702,1701.9,1702
202209140714,1701.6,1701.7,1701.6,1701.6,1702,1702.1,1702,1702
202209140715,1701.6,1701.6,1701.5,1701.6,1702,1702,1701.9,1702
202209140716,1701.6,1701.8,1701.6,1701.8,1702,1702.2,1702,1702.2
202209140717,1701.9,1702.1,1701.8,1702,1702.3,1702.5,1702.2,1702.4
202209140718,1702,1702,1701.9,1701.9,1702.4,1702.4,1702.3,1702.3
202209140719,1701.9,1702,1701.8,1702,1702.3,1702.4,1702.2,1702.4
202209140720,1702,1702.1,1702,1702.1,1702.4,1702.6,1702.4,1702.5
202209140721,1702.1,1702.1,1702,1702.1,1702.5,1702.5,1702.4,1702.5
202209140722,1702.1,1702.1,1701.9,1701.9,1702.5,1702.5,1702.3,1702.3
202209140723,1701.9,1702.2,1701.8,1702.2,1702.3,1702.6,1702.2,1702.6
202209140724,1702.2,1702.2,1702.1,1702.1,1702.6,1702.7,1702.5,1702.6
202209140725,1702.1,1702.2,1702.1,1702.1,1702.6,1702.6,1702.5,1702.6
202209140726,1702.1,1702.5,1702.1,1702.4,1702.6,1702.9,1702.6,1702.9
202209140727,1702.4,1702.6,1702.4,1702.5,1702.9,1703,1702.8,1702.9
202209140728,1702.5,1702.6,1702.5,1702.5,1702.9,1703,1702.9,1702.9
202209140729,1702.5,1702.6,1702.5,1702.5,1702.9,1703,1702.9,1702.9
202209140730,1702.5,1702.6,1702.5,1702.6,1702.9,1703,1702.9,1703
202209140731,1702.6,1702.8,1702.6,1702.6,1703,1703.2,1703,1703
202209140732,1702.6,1702.7,1702.5,1702.7,1703,1703.1,1702.9,1703.1
202209140733,1702.6,1702.8,1702.4,1702.4,1703,1703.2,1702.8,1702.8
202209140734,1702.4,1702.5,1702.4,1702.5,1702.8,1702.9,1702.8,1702.9
202209140735,1702.5,1702.6,1702.4,1702.5,1702.9,1703,1702.8,1702.9
202209140736,1702.5,1702.6,1702.1,1702.1,1702.9,1703,1702.5,1702.5
202209140737,1702.1,1702.5,1702.1,1702.4,1702.5,1702.9,1702.5,1702.8
202209140738,1702.4,1702.7,1701.9,1702.1,1702.8,1703.1,1702.3,1702.5
202209140739,1702.1,1702.1,1701.9,1702,1702.5,1702.5,1702.3,1702.4
202209140740,1702,1702,1701.8,1701.8,1702.4,1702.4,1702.2,1702.2
202209140741,1701.8,1702,1701.8,1702,1702.2,1702.4,1702.2,1702.4
202209140742,1702,1702.1,1701.8,1701.8,1702.4,1702.5,1702.2,1702.2
202209140743,1701.8,1702,1701.7,1701.7,1702.2,1702.4,1702.1,1702.1
202209140744,1701.7,1701.7,1701.5,1701.5,1702.1,1702.1,1701.9,1701.9
202209140745,1701.5,1701.6,1701.3,1701.5,1701.9,1702,1701.7,1701.9
202209140746,1701.5,1701.7,1701.4,1701.5,1701.9,1702.1,1701.8,1701.9
202209140747,1701.5,1701.8,1701.5,1701.8,1701.9,1702.2,1701.9,1702.2
202209140748,1701.8,1702,1701.8,1701.9,1702.2,1702.4,1702.2,1702.3
202209140749,1701.9,1701.9,1701.9,1701.9,1702.3,1702.3,1702.3,1702.3
202209140750,1701.9,1702,1701.9,1702,1702.3,1702.4,1702.3,1702.4
202209140751,1702,1702,1701.9,1701.9,1702.4,1702.4,1702.3,1702.3
202209140752,1701.9,1702,1701.9,1701.9,1702.3,1702.4,1702.3,1702.3
202209140753,1701.9,1701.9,1701.9,1701.9,1702.3,1702.3,1702.3,1702.3
202209140754,1701.9,1702,1701.9,1702,1702.3,1702.4,1702.3,1702.4
202209140755,1702,1702.1,1702,1702,1702.4,1702.5,1702.4,1702.4
202209140756,1702.1,1702.4,1702.1,1702.4,1702.5,1702.8,1702.5,1702.8
202209140757,1702.4,1702.4,1702.2,1702.3,1702.8,1702.8,1702.6,1702.7
202209140758,1702.3,1702.4,1702.2,1702.2,1702.7,1702.8,1702.6,1702.6
202209140759,1702.2,1702.3,1701.8,1701.8,1702.6,1702.7,1702.2,1702.2
202209140800,1701.8,1701.9,1701.6,1701.7,1702.2,1702.3,1702,1702.1
202209140801,1701.7,1701.8,1701.6,1701.8,1702.1,1702.2,1702,1702.2
202209140802,1701.8,1702,1701.7,1701.8,1702.2,1702.4,1702.1,1702.2
202209140803,1701.8,1701.8,1701.7,1701.7,1702.2,1702.2,1702.1,1702.1
202209140804,1701.7,1701.8,1701.6,1701.8,1702.1,1702.2,1702,1702.2
202209140805,1701.8,1701.8,1701.6,1701.6,1702.2,1702.2,1702,1702
202209140806,1701.6,1701.6,1701.3,1701.4,1702,1702,1701.7,1701.8
202209140807,1701.3,1701.7,1701.3,1701.6,1701.7,1702.1,1701.7,1702
202209140808,1701.5,1701.7,1701.4,1701.5,1701.9,1702.1,1701.8,1701.9
202209140809,1701.5,1701.6,1701.3,1701.6,1701.9,1702,1701.7,1702
202209140810,1701.6,1702,1701.5,1701.7,1702,1702.4,1701.9,1702.1
202209140811,1701.7,1701.9,1701.7,1701.9,1702.1,1702.3,1702.1,1702.3
202209140812,1701.9,1702.1,1701.8,1701.9,1702.3,1702.5,1702.2,1702.3
202209140813,1701.9,1702,1701.7,1701.8,1702.3,1702.4,1702.1,1702.2
202209140814,1701.9,1701.9,1701.7,1701.7,1702.3,1702.3,1702.1,1702.1
202209140815,1701.7,1701.8,1701.6,1701.6,1702.1,1702.2,1702,1702
202209140816,1701.6,1701.7,1701.4,1701.7,1702,1702.1,1701.8,1702.1
202209140817,1701.7,1701.7,1701.4,1701.5,1702.1,1702.1,1701.8,1701.9
202209140818,1701.6,1701.8,1701.6,1701.7,1702,1702.2,1702,1702.1
202209140819,1701.7,1701.8,1701.6,1701.6,1702.1,1702.2,1702,1702
