日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202303140700,1913.5,1913.9,1913.3,1913.5,1914.4,1914.4,1914,1914
202303140701,1913.5,1913.5,1912.4,1912.4,1914,1914,1912.8,1912.8
202303140702,1912.4,1912.4,1912.1,1912.2,1912.8,1912.8,1912.5,1912.6
202303140703,1912.2,1912.6,1912,1912.1,1912.6,1913.2,1912.4,1912.9
202303140704,1912.1,1912.4,1911.5,1912.1,1912.9,1913,1912,1912.7
202303140705,1912.1,1912.1,1911.7,1911.7,1912.7,1912.7,1912.1,1912.1
202303140706,1911.6,1911.9,1911.3,1911.9,1912.1,1912.3,1911.7,1912.3
202303140707,1911.9,1912.4,1911.2,1911.5,1912.3,1912.8,1911.6,1911.9
202303140708,1911.5,1912.2,1911.5,1912.1,1912,1912.6,1911.9,1912.5
202303140709,1912.1,1912.1,1911.4,1912,1912.5,1912.5,1911.8,1912.4
202303140710,1911.9,1912.4,1911.9,1912.4,1912.3,1912.8,1912.3,1912.8
202303140711,1912.5,1912.5,1911.6,1911.8,1912.9,1912.9,1912,1912.2
202303140712,1911.9,1912,1911.2,1911.4,1912.3,1912.4,1911.6,1911.8
202303140713,1911.4,1911.7,1911.4,1911.7,1911.8,1912.1,1911.8,1912.1
202303140714,1911.7,1911.7,1911.1,1911.2,1912.1,1912.2,1911.5,1911.6
202303140715,1911.1,1911.5,1910.9,1911.5,1911.5,1911.9,1911.3,1911.9
202303140716,1911.5,1911.5,1911.4,1911.4,1911.9,1911.9,1911.8,1911.8
202303140717,1911.4,1911.5,1911.1,1911.2,1911.8,1911.9,1911.5,1911.6
202303140718,1911.1,1911.1,1910.6,1910.6,1911.5,1911.5,1911,1911
202303140719,1910.6,1910.8,1910.4,1910.7,1911,1911.2,1910.8,1911.1
202303140720,1910.7,1910.8,1910.4,1910.8,1911.1,1911.2,1910.8,1911.2
202303140721,1910.8,1911,1910.6,1910.7,1911.2,1911.4,1911,1911.1
202303140722,1910.7,1911.3,1910.7,1911.3,1911.1,1911.7,1911.1,1911.7
202303140723,1911.3,1911.5,1911.1,1911.3,1911.7,1911.9,1911.5,1911.7
202303140724,1911.3,1911.5,1911.1,1911.5,1911.7,1911.9,1911.5,1911.9
202303140725,1911.5,1911.6,1911.5,1911.5,1911.9,1912,1911.9,1911.9
202303140726,1911.5,1911.6,1911.4,1911.4,1911.9,1912,1911.8,1911.8
202303140727,1911.4,1911.4,1911.2,1911.3,1911.8,1911.8,1911.6,1911.7
202303140728,1911.3,1911.4,1911.3,1911.3,1911.7,1911.8,1911.7,1911.7
202303140729,1911.3,1911.3,1910.9,1910.9,1911.7,1911.7,1911.3,1911.3
202303140730,1910.9,1911,1910.6,1911,1911.3,1911.4,1911,1911.4
202303140731,1911,1911,1910.8,1910.9,1911.4,1911.4,1911.2,1911.3
202303140732,1910.9,1910.9,1910.6,1910.6,1911.3,1911.3,1911,1911
202303140733,1910.6,1910.7,1910.6,1910.6,1911,1911.1,1911,1911
202303140734,1910.6,1910.6,1910.4,1910.5,1911,1911,1910.8,1910.9
202303140735,1910.6,1910.6,1910.3,1910.4,1911,1911,1910.7,1910.8
202303140736,1910.4,1910.5,1910.3,1910.5,1910.8,1910.9,1910.7,1910.9
202303140737,1910.5,1910.5,1910.2,1910.2,1910.9,1910.9,1910.6,1910.6
202303140738,1910.3,1910.3,1910.1,1910.2,1910.7,1910.7,1910.5,1910.6
202303140739,1910.2,1910.5,1910.2,1910.5,1910.6,1910.9,1910.6,1910.9
202303140740,1910.5,1910.6,1910.3,1910.6,1910.9,1911,1910.7,1911
202303140741,1910.6,1910.6,1910.3,1910.3,1911,1911,1910.7,1910.7
202303140742,1910.3,1910.5,1910.1,1910.2,1910.7,1910.9,1910.5,1910.6
202303140743,1910.2,1910.3,1910.1,1910.1,1910.6,1910.7,1910.5,1910.5
202303140744,1910.1,1910.2,1909.9,1910.1,1910.5,1910.6,1910.3,1910.5
202303140745,1910.1,1910.1,1909.8,1910.1,1910.5,1910.5,1910.2,1910.5
202303140746,1910.1,1910.2,1910,1910.1,1910.5,1910.6,1910.4,1910.5
202303140747,1910.1,1910.2,1910.1,1910.1,1910.5,1910.6,1910.5,1910.5
202303140748,1910.1,1910.3,1910.1,1910.2,1910.5,1910.7,1910.5,1910.6
202303140749,1910.2,1910.5,1910.2,1910.3,1910.6,1910.9,1910.6,1910.7
