日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
201904050700,1291.9,1292.4,1291.8,1292.4,1292.3,1292.8,1292.2,1292.8
201904050701,1292.4,1292.7,1292.4,1292.6,1292.8,1293.1,1292.8,1293
201904050702,1292.6,1292.7,1292.6,1292.7,1293,1293.1,1293,1293.1
201904050703,1292.7,1292.8,1292.7,1292.7,1293.1,1293.2,1293.1,1293.1
201904050704,1292.7,1292.7,1292.7,1292.7,1293.1,1293.1,1293.1,1293.1
201904050705,1292.7,1292.7,1292.7,1292.7,1293.1,1293.1,1293.1,1293.1
201904050706,1292.7,1292.7,1292.7,1292.7,1293.1,1293.1,1293.1,1293.1
201904050707,1292.7,1292.8,1292.7,1292.7,1293.1,1293.2,1293.1,1293.1
201904050708,1292.7,1292.7,1292.7,1292.7,1293.1,1293.1,1293.1,1293.1
201904050709,1292.7,1292.7,1292.6,1292.6,1293.1,1293.1,1293,1293
201904050710,1292.6,1292.7,1292.6,1292.6,1293,1293.1,1293,1293
201904050711,1292.6,1292.6,1292.5,1292.5,1293,1293,1292.9,1292.9
201904050712,1292.5,1292.5,1292.4,1292.4,1292.9,1292.9,1292.8,1292.8
201904050713,1292.4,1292.4,1292.4,1292.4,1292.8,1292.8,1292.8,1292.8
201904050714,1292.4,1292.5,1292.4,1292.5,1292.8,1292.9,1292.8,1292.9
201904050715,1292.5,1292.5,1292.5,1292.5,1292.9,1292.9,1292.9,1292.9
201904050716,1292.5,1292.5,1292.4,1292.4,1292.9,1292.9,1292.8,1292.8
201904050717,1292.4,1292.4,1292.4,1292.4,1292.8,1292.8,1292.8,1292.8
201904050718,1292.3,1292.3,1292.2,1292.2,1292.7,1292.7,1292.6,1292.6
201904050719,1292.2,1293.2,1292.2,1293,1292.6,1293.6,1292.6,1293.4
201904050720,1293,1293.1,1292.9,1293,1293.4,1293.5,1293.3,1293.4
201904050721,1293,1293,1293,1293,1293.4,1293.4,1293.4,1293.4
201904050722,1293,1293,1293,1293,1293.4,1293.4,1293.4,1293.4
201904050723,1293,1293.1,1293,1293.1,1293.4,1293.5,1293.4,1293.5
201904050724,1293.1,1293.1,1293,1293,1293.5,1293.5,1293.4,1293.4
201904050725,1293,1293,1292.8,1292.8,1293.4,1293.4,1293.2,1293.2
201904050726,1292.8,1292.9,1292.8,1292.8,1293.2,1293.3,1293.2,1293.2
201904050727,1292.8,1292.8,1292.7,1292.7,1293.2,1293.2,1293.1,1293.1
201904050728,1292.7,1292.7,1292.6,1292.6,1293.1,1293.1,1293,1293
201904050729,1292.6,1292.7,1292.5,1292.5,1293,1293.1,1292.9,1292.9
201904050730,1292.5,1292.6,1292.4,1292.6,1292.9,1293,1292.8,1293
201904050731,1292.6,1293.1,1292.6,1293.1,1293,1293.5,1293,1293.5
201904050732,1293.1,1293.3,1293.1,1293.3,1293.5,1293.7,1293.5,1293.7
201904050733,1293.3,1293.3,1292.9,1293,1293.7,1293.7,1293.3,1293.4
201904050734,1293,1293.2,1293,1293.2,1293.4,1293.6,1293.4,1293.6
201904050735,1293.2,1293.2,1293.2,1293.2,1293.6,1293.6,1293.6,1293.6
201904050736,1293.2,1293.5,1293.2,1293.5,1293.6,1293.9,1293.6,1293.9
201904050737,1293.5,1293.5,1293.3,1293.3,1293.9,1293.9,1293.7,1293.7
201904050738,1293.3,1293.3,1293.2,1293.2,1293.7,1293.7,1293.6,1293.6
201904050739,1293.2,1293.2,1293.2,1293.2,1293.6,1293.6,1293.6,1293.6
201904050740,1293.2,1293.2,1293.1,1293.1,1293.6,1293.6,1293.5,1293.5
201904050741,1293.1,1293.2,1293.1,1293.1,1293.5,1293.6,1293.5,1293.5
201904050742,1293.1,1293.1,1293.1,1293.1,1293.5,1293.5,1293.5,1293.5
201904050743,1293.1,1293.1,1293.1,1293.1,1293.5,1293.5,1293.5,1293.5
201904050744,1293.1,1293.1,1293,1293.1,1293.5,1293.5,1293.4,1293.5
201904050745,1293.1,1293.1,1293.1,1293.1,1293.5,1293.5,1293.5,1293.5
201904050746,1293.1,1293.1,1293,1293,1293.5,1293.5,1293.4,1293.4
201904050747,1293,1293,1293,1293,1293.4,1293.4,1293.4,1293.4
201904050748,1293,1293,1293,1293,1293.4,1293.4,1293.4,1293.4
201904050749,1293,1293.1,1293,1293.1,1293.4,1293.5,1293.4,1293.5
201904050750,1293.1,1293.2,1292.6,1292.6,1293.5,1293.6,1293,1293
201904050751,1292.6,1293.1,1292.6,1292.9,1293,1293.5,1293,1293.3
201904050752,1292.9,1292.9,1292.9,1292.9,1293.3,1293.3,1293.3,1293.3
201904050753,1292.9,1292.9,1292.8,1292.8,1293.3,1293.3,1293.2,1293.2
201904050754,1292.8,1292.8,1292.8,1292.8,1293.2,1293.2,1293.2,1293.2
201904050755,1292.8,1292.8,1292.7,1292.8,1293.2,1293.2,1293.1,1293.2
201904050756,1292.8,1292.8,1292.8,1292.8,1293.2,1293.2,1293.2,1293.2
201904050757,1292.8,1292.8,1292.8,1292.8,1293.2,1293.2,1293.2,1293.2
201904050758,1292.8,1292.8,1292.8,1292.8,1293.2,1293.2,1293.2,1293.2
201904050759,1292.8,1292.8,1292.7,1292.8,1293.2,1293.2,1293.1,1293.2
201904050800,1292.8,1292.8,1292.7,1292.7,1293.2,1293.2,1293.1,1293.1
201904050801,1292.7,1292.7,1292.6,1292.6,1293.1,1293.1,1293,1293
201904050802,1292.6,1292.6,1292.5,1292.6,1293,1293,1292.9,1293
