日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202101190800,1837.6,1838.8,1837.2,1838,1838.4,1839.3,1838,1838.4
202101190801,1837.9,1839.1,1837.8,1838.7,1838.3,1839.8,1838.3,1839.5
202101190802,1838.7,1838.8,1838.5,1838.6,1839.5,1839.5,1839.2,1839.3
202101190803,1838.6,1838.7,1838.2,1838.6,1839.2,1839.4,1838.9,1839.2
202101190804,1838.6,1838.6,1838.1,1838.2,1839.2,1839.2,1838.8,1838.9
202101190805,1838.2,1838.4,1838,1838.3,1838.9,1839.1,1838.7,1839
202101190806,1838.3,1838.6,1838.3,1838.3,1839,1839.2,1838.8,1838.8
202101190807,1838.2,1838.3,1837.9,1838,1838.8,1838.8,1838.5,1838.5
202101190808,1838,1838,1837.6,1837.6,1838.4,1838.6,1838.3,1838.3
202101190809,1837.6,1837.9,1837.5,1837.8,1838.3,1838.5,1838.1,1838.4
202101190810,1837.8,1838.3,1837.8,1838,1838.4,1838.8,1838.4,1838.6
202101190811,1838,1838.1,1838,1838,1838.6,1838.7,1838.6,1838.6
202101190812,1838,1838.5,1838,1838.5,1838.6,1839.1,1838.6,1839.1
202101190813,1838.5,1838.5,1838.3,1838.3,1839.1,1839.1,1838.9,1838.9
202101190814,1838.3,1838.6,1838.2,1838.5,1838.9,1839.2,1838.8,1839.1
202101190815,1838.5,1838.7,1838.5,1838.7,1839.1,1839.1,1838.9,1839.1
202101190816,1838.7,1838.7,1838,1838.1,1839.1,1839.1,1838.5,1838.5
202101190817,1838.1,1838.1,1837.7,1837.9,1838.6,1838.6,1838.2,1838.3
202101190818,1837.8,1837.8,1837.4,1837.6,1838.3,1838.3,1837.9,1838.1
202101190819,1837.6,1838.1,1837.6,1837.9,1838.1,1838.6,1838.1,1838.3
202101190820,1837.9,1838,1837.4,1838,1838.3,1838.4,1837.8,1838.4
202101190821,1838,1838.1,1837.9,1838.1,1838.4,1838.5,1838.3,1838.5
202101190822,1838.1,1838.3,1837.9,1837.9,1838.5,1838.7,1838.3,1838.3
202101190823,1837.9,1837.9,1837.4,1837.4,1838.3,1838.3,1837.8,1837.8
202101190824,1837.4,1837.4,1837.2,1837.2,1837.8,1837.8,1837.6,1837.6
