日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202011180800,1880.4,1881.1,1879.9,1881,1881.3,1882,1880.5,1881.4
202011180801,1881.1,1881.6,1880.8,1881.3,1881.5,1882,1881.3,1881.7
202011180802,1881.3,1882.1,1881.3,1881.9,1881.7,1882.8,1881.7,1882.3
202011180803,1881.8,1882,1881.7,1881.7,1882.2,1882.4,1882.1,1882.1
202011180804,1881.7,1881.7,1881.5,1881.5,1882.1,1882.2,1881.9,1882
202011180805,1881.5,1881.8,1881.3,1881.7,1882,1882.3,1881.7,1882.2
202011180806,1881.7,1881.8,1881.2,1881.2,1882.2,1882.2,1881.7,1881.7
202011180807,1881.3,1881.3,1880.8,1880.8,1881.7,1881.7,1881.2,1881.2
202011180808,1880.8,1881.1,1880.7,1881.1,1881.2,1881.7,1881.1,1881.7
202011180809,1881.1,1881.4,1881,1881.3,1881.7,1881.9,1881.5,1881.8
202011180810,1881.3,1881.4,1881.1,1881.4,1881.8,1881.9,1881.6,1881.9
202011180811,1881.4,1881.4,1881.3,1881.4,1881.9,1881.9,1881.7,1881.8
202011180812,1881.4,1882,1881.4,1881.9,1881.8,1882.6,1881.8,1882.4
202011180813,1881.9,1882.3,1881.8,1882.1,1882.4,1882.8,1882.3,1882.5
202011180814,1882.1,1882.3,1882.1,1882.3,1882.5,1882.8,1882.5,1882.7
202011180815,1882.3,1882.3,1881.8,1881.9,1882.7,1882.7,1882.3,1882.3
202011180816,1881.9,1881.9,1881.6,1881.8,1882.3,1882.3,1882,1882.2
202011180817,1882,1882,1881.6,1881.9,1882.4,1882.5,1882,1882.3
202011180818,1881.9,1882.1,1881.8,1882,1882.3,1882.5,1882.2,1882.4
202011180819,1882,1882,1881.8,1881.9,1882.4,1882.4,1882.2,1882.3
202011180820,1881.9,1882.1,1881.8,1882.1,1882.3,1882.5,1882.2,1882.5
202011180821,1882.1,1882.1,1882,1882.1,1882.5,1882.5,1882.4,1882.5
202011180822,1882.1,1882.2,1882.1,1882.2,1882.5,1882.6,1882.5,1882.6
202011180823,1882.2,1882.4,1882,1882,1882.6,1882.8,1882.4,1882.4
202011180824,1882,1882.3,1882,1882.3,1882.4,1882.7,1882.4,1882.7
202011180825,1882.3,1882.3,1882.1,1882.2,1882.7,1882.7,1882.5,1882.6
202011180826,1882.2,1882.2,1882.2,1882.2,1882.6,1882.6,1882.6,1882.6
202011180827,1882.2,1882.3,1881.6,1881.8,1882.6,1882.7,1882,1882.2
202011180828,1881.8,1881.8,1881.7,1881.8,1882.2,1882.2,1882.1,1882.2
202011180829,1881.8,1881.9,1881.4,1881.5,1882.2,1882.3,1881.8,1881.9
202011180830,1881.5,1881.7,1881.4,1881.7,1881.9,1882.1,1881.8,1882.1
202011180831,1881.8,1881.9,1881.8,1881.8,1882.2,1882.3,1882.2,1882.2
202011180832,1881.8,1881.9,1881.7,1881.8,1882.2,1882.3,1882.1,1882.2
202011180833,1881.8,1881.9,1881.8,1881.9,1882.2,1882.3,1882.2,1882.3
202011180834,1882,1882,1881.8,1881.9,1882.4,1882.4,1882.2,1882.3
202011180835,1881.9,1881.9,1881.7,1881.7,1882.3,1882.3,1882.1,1882.1
202011180836,1881.7,1881.8,1881.7,1881.8,1882.1,1882.2,1882.1,1882.2
202011180837,1881.8,1881.8,1881.7,1881.8,1882.2,1882.2,1882.1,1882.2
202011180838,1881.8,1881.9,1881.8,1881.9,1882.2,1882.3,1882.2,1882.3
202011180839,1881.9,1881.9,1881.8,1881.9,1882.3,1882.3,1882.2,1882.3
202011180840,1881.9,1881.9,1881.8,1881.8,1882.3,1882.3,1882.2,1882.2
202011180841,1881.8,1881.8,1881.8,1881.8,1882.2,1882.2,1882.2,1882.2
202011180842,1881.8,1881.9,1881.8,1881.8,1882.2,1882.3,1882.2,1882.2
202011180843,1881.8,1881.9,1881.8,1881.9,1882.2,1882.3,1882.2,1882.3
202011180844,1881.9,1882.1,1881.9,1882.1,1882.3,1882.5,1882.3,1882.5
202011180845,1882.2,1883,1882,1882.8,1882.6,1883.5,1882.4,1883.2
202011180846,1882.8,1882.9,1882,1882.4,1883.2,1883.3,1882.4,1882.8
202011180847,1882.4,1882.4,1882,1882,1882.8,1882.8,1882.4,1882.4
202011180848,1882,1882.5,1882,1882.5,1882.4,1882.9,1882.4,1882.9
202011180849,1882.5,1882.5,1882.2,1882.4,1882.9,1882.9,1882.6,1882.8
202011180850,1882.4,1882.4,1882.3,1882.4,1882.8,1882.8,1882.7,1882.8
202011180851,1882.4,1882.4,1882.3,1882.4,1882.8,1882.8,1882.8,1882.8
202011180852,1882.4,1882.4,1882.3,1882.4,1882.8,1882.8,1882.7,1882.8
202011180853,1882.5,1882.6,1882.4,1882.4,1882.9,1883,1882.8,1882.8
202011180854,1882.4,1882.5,1882.4,1882.5,1882.8,1882.9,1882.8,1882.9
202011180855,1882.5,1882.6,1882.5,1882.5,1882.9,1883,1882.9,1882.9
202011180856,1882.5,1882.6,1882.5,1882.6,1882.9,1883,1882.9,1883
202011180857,1882.6,1882.6,1882.5,1882.5,1883,1883,1882.9,1882.9
202011180858,1882.4,1882.4,1882.3,1882.3,1882.8,1882.8,1882.7,1882.7
202011180859,1882.3,1882.5,1882.3,1882.5,1882.7,1882.9,1882.7,1882.9
202011180900,1882.6,1882.6,1882.3,1882.6,1883,1883,1882.7,1883
202011180901,1882.6,1882.7,1882.5,1882.7,1883,1883.1,1882.9,1883.1
202011180902,1882.7,1883.1,1882.7,1882.7,1883.1,1883.5,1883.1,1883.1
202011180903,1882.7,1882.9,1882.5,1882.8,1883.1,1883.3,1882.9,1883.2
202011180904,1882.8,1883,1882.3,1882.4,1883.2,1883.4,1882.7,1882.8
202011180905,1882.4,1882.4,1881.7,1882,1882.8,1882.8,1882.1,1882.4
202011180906,1882,1882.1,1881.5,1881.5,1882.4,1882.5,1881.9,1881.9
202011180907,1881.5,1882,1881.3,1881.9,1881.9,1882.4,1881.7,1882.3
202011180908,1881.9,1882.1,1881.8,1882.1,1882.3,1882.5,1882.2,1882.5
202011180909,1882.1,1882.1,1881.7,1881.8,1882.5,1882.5,1882.1,1882.2
202011180910,1881.8,1882.1,1881.7,1882.1,1882.2,1882.5,1882.1,1882.5
202011180911,1882.1,1882.2,1881.9,1882,1882.5,1882.6,1882.3,1882.4
202011180912,1882,1882.2,1882,1882.1,1882.4,1882.6,1882.4,1882.5
202011180913,1882.1,1882.1,1881.6,1881.7,1882.5,1882.5,1882,1882.1
202011180914,1881.7,1881.7,1881.6,1881.7,1882.1,1882.1,1882,1882.1
202011180915,1881.7,1881.8,1881.6,1881.6,1882.1,1882.2,1882,1882
202011180916,1881.6,1881.7,1881.6,1881.7,1882,1882.1,1882,1882.1
202011180917,1881.7,1881.9,1881.6,1881.8,1882.1,1882.3,1882,1882.2
202011180918,1881.8,1882,1881.8,1882,1882.2,1882.4,1882.2,1882.4
202011180919,1882,1882.1,1882,1882.1,1882.4,1882.5,1882.4,1882.5
202011180920,1882.1,1882.2,1882,1882,1882.5,1882.6,1882.4,1882.4
202011180921,1882,1882,1881.9,1881.9,1882.4,1882.4,1882.3,1882.3
202011180922,1881.8,1881.9,1881.8,1881.8,1882.2,1882.3,1882.2,1882.2
202011180923,1881.8,1881.9,1881.8,1881.9,1882.2,1882.3,1882.2,1882.3
202011180924,1881.9,1882.4,1881.9,1882,1882.3,1882.8,1882.3,1882.4
202011180925,1882,1882.3,1882,1882,1882.4,1882.7,1882.4,1882.4
202011180926,1882,1882,1881.6,1881.6,1882.4,1882.4,1882,1882
202011180927,1881.7,1882.1,1881.5,1881.7,1882.1,1882.5,1881.9,1882.1
202011180928,1881.7,1882.1,1881.7,1882.1,1882.1,1882.5,1882.1,1882.5
202011180929,1882.1,1882.4,1882,1882.2,1882.5,1882.8,1882.4,1882.6
202011180930,1882.2,1882.2,1881.7,1882,1882.6,1882.6,1882.1,1882.4
202011180931,1882,1882.3,1881.9,1882.3,1882.4,1882.7,1882.3,1882.7
202011180932,1882.3,1882.5,1882.3,1882.4,1882.7,1882.9,1882.7,1882.8
202011180933,1882.4,1882.8,1882.4,1882.6,1882.8,1883.2,1882.8,1883
202011180934,1882.6,1882.8,1882.2,1882.4,1883,1883.2,1882.6,1882.8
202011180935,1882.4,1882.5,1882.2,1882.3,1882.8,1882.9,1882.6,1882.7
202011180936,1882.3,1882.4,1881.9,1881.9,1882.7,1882.8,1882.3,1882.3
202011180937,1881.9,1882,1881.6,1881.6,1882.3,1882.4,1882,1882
