日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202211100800,1706.7,1706.7,1705.3,1705.9,1707.2,1707.3,1706.2,1706.4
202211100801,1706,1706.3,1705.9,1706.1,1706.4,1706.7,1706.3,1706.5
202211100802,1706.1,1706.3,1706,1706.1,1706.5,1706.7,1706.4,1706.5
202211100803,1706.1,1706.2,1706.1,1706.1,1706.5,1706.6,1706.5,1706.5
202211100804,1706.1,1706.1,1705.9,1705.9,1706.5,1706.5,1706.3,1706.3
202211100805,1705.9,1706,1705.8,1705.9,1706.3,1706.4,1706.2,1706.3
202211100806,1705.9,1706,1705.8,1705.9,1706.3,1706.4,1706.2,1706.3
202211100807,1705.9,1705.9,1705.7,1705.7,1706.3,1706.3,1706.1,1706.1
202211100808,1705.9,1705.9,1705.8,1705.9,1706.3,1706.3,1706.2,1706.3
202211100809,1705.9,1706,1705.9,1706,1706.3,1706.4,1706.3,1706.4
202211100810,1706,1706.1,1706,1706.1,1706.4,1706.5,1706.4,1706.5
202211100811,1706.1,1706.1,1705.9,1706.1,1706.5,1706.5,1706.3,1706.5
202211100812,1706.1,1706.1,1705.9,1706.1,1706.5,1706.5,1706.3,1706.5
202211100813,1706,1706.1,1706,1706,1706.4,1706.5,1706.4,1706.4
202211100814,1706,1706,1705.9,1706,1706.4,1706.4,1706.3,1706.4
202211100815,1706,1706,1705.5,1705.5,1706.4,1706.4,1706,1706
202211100816,1705.5,1705.6,1705.5,1705.5,1706,1706,1705.9,1705.9
202211100817,1705.5,1705.5,1705.3,1705.3,1705.9,1705.9,1705.7,1705.7
202211100818,1705.2,1705.3,1704.5,1705.1,1705.6,1705.7,1705.1,1705.5
202211100819,1705.1,1705.1,1704.4,1704.5,1705.5,1705.5,1704.8,1704.9
202211100820,1704.7,1705.2,1704.2,1704.3,1705.1,1705.6,1704.6,1704.7
202211100821,1704.3,1704.4,1704,1704,1704.7,1704.8,1704.4,1704.4
202211100822,1704,1704.8,1703.7,1704.5,1704.4,1705.2,1704.1,1704.9
202211100823,1704.5,1704.8,1704.1,1704.4,1704.9,1705.2,1704.5,1704.8
202211100824,1704.4,1704.7,1704.4,1704.7,1704.8,1705.1,1704.8,1705.1
202211100825,1704.7,1705.1,1704.7,1705.1,1705.1,1705.5,1705.1,1705.5
202211100826,1705.2,1705.3,1705.1,1705.1,1705.6,1705.7,1705.5,1705.5
202211100827,1705,1705.1,1704.8,1704.8,1705.4,1705.5,1705.2,1705.2
202211100828,1704.8,1704.8,1704.5,1704.5,1705.2,1705.2,1704.9,1704.9
202211100829,1704.5,1704.8,1704.4,1704.7,1704.9,1705.3,1704.9,1705.3
202211100830,1704.7,1705.4,1704.7,1705.4,1705.3,1705.8,1705.2,1705.8
202211100831,1705.4,1705.8,1705.1,1705.7,1705.8,1706.2,1705.5,1706.1
202211100832,1705.6,1705.9,1705.4,1705.9,1706,1706.3,1705.8,1706.3
202211100833,1705.9,1705.9,1705.6,1705.7,1706.3,1706.3,1706,1706.1
202211100834,1705.7,1705.9,1705.7,1705.9,1706.1,1706.3,1706.1,1706.3
202211100835,1705.9,1706.3,1705.9,1706.1,1706.3,1706.7,1706.3,1706.5
202211100836,1706.1,1706.3,1705.9,1706.1,1706.5,1706.7,1706.3,1706.5
202211100837,1706.1,1706.1,1705.9,1705.9,1706.5,1706.5,1706.3,1706.3
202211100838,1705.9,1706,1705.7,1705.9,1706.3,1706.4,1706.1,1706.3
202211100839,1705.9,1705.9,1705.1,1705.2,1706.3,1706.3,1705.5,1705.6
202211100840,1705.2,1705.3,1705,1705.1,1705.6,1705.7,1705.4,1705.5
202211100841,1705.1,1705.2,1705,1705,1705.5,1705.6,1705.4,1705.4
202211100842,1705.1,1705.4,1705,1705.4,1705.5,1705.8,1705.4,1705.8
202211100843,1705.4,1705.6,1705.3,1705.3,1705.8,1706,1705.7,1705.7
202211100844,1705.3,1705.5,1705.3,1705.5,1705.7,1705.9,1705.7,1705.9
202211100845,1705.5,1706.1,1705.5,1706.1,1705.9,1706.5,1705.9,1706.5
202211100846,1706.1,1706.2,1706,1706.2,1706.5,1706.6,1706.4,1706.6
202211100847,1706.2,1706.3,1706.1,1706.2,1706.6,1706.7,1706.5,1706.6
202211100848,1706.2,1706.4,1706.2,1706.3,1706.6,1706.8,1706.6,1706.7
202211100849,1706.3,1706.4,1706.1,1706.4,1706.7,1706.8,1706.5,1706.8
202211100850,1706.4,1706.5,1706.4,1706.5,1706.8,1706.9,1706.8,1706.9
202211100851,1706.5,1706.5,1706.1,1706.2,1706.9,1706.9,1706.5,1706.6
202211100852,1706.1,1706.2,1705.8,1705.9,1706.5,1706.6,1706.2,1706.3
202211100853,1705.9,1706.1,1705.8,1706,1706.3,1706.5,1706.2,1706.4
202211100854,1706,1706.2,1706,1706.1,1706.4,1706.6,1706.4,1706.5
202211100855,1706.1,1706.3,1706.1,1706.2,1706.5,1706.7,1706.5,1706.6
202211100856,1706.3,1706.5,1706.2,1706.4,1706.7,1706.9,1706.6,1706.8
202211100857,1706.4,1706.4,1706.1,1706.2,1706.8,1706.8,1706.5,1706.6
202211100858,1706.2,1706.5,1706.2,1706.4,1706.6,1706.9,1706.6,1706.8
202211100859,1706.4,1706.4,1706.2,1706.4,1706.8,1706.8,1706.6,1706.8
202211100900,1706.3,1706.4,1706,1706.1,1706.7,1706.8,1706.4,1706.5
202211100901,1706.1,1706.4,1706.1,1706.1,1706.5,1706.8,1706.5,1706.5
202211100902,1706.1,1706.2,1705.8,1705.8,1706.5,1706.6,1706.2,1706.2
202211100903,1705.8,1706,1705.7,1705.7,1706.2,1706.4,1706.1,1706.1
202211100904,1705.7,1705.7,1705.6,1705.6,1706.1,1706.1,1706,1706
202211100905,1705.6,1705.9,1705.5,1705.7,1706,1706.3,1705.9,1706.1
202211100906,1705.7,1705.8,1705.6,1705.6,1706.1,1706.2,1706,1706
202211100907,1705.6,1705.6,1705.6,1705.6,1706,1706,1706,1706
202211100908,1705.6,1705.7,1705.6,1705.6,1706,1706.1,1706,1706
202211100909,1705.6,1705.6,1705.4,1705.4,1706,1706,1705.8,1705.8
202211100910,1705.5,1705.9,1705.5,1705.7,1705.9,1706.3,1705.9,1706.1
202211100911,1705.7,1705.8,1705.4,1705.4,1706.1,1706.2,1705.8,1705.8
202211100912,1705.4,1705.6,1705.3,1705.3,1705.8,1706,1705.7,1705.7
202211100913,1705.3,1705.4,1705.3,1705.4,1705.7,1705.8,1705.7,1705.8
202211100914,1705.3,1705.4,1705,1705.1,1705.7,1705.8,1705.4,1705.5
202211100915,1705,1705.2,1705,1705.1,1705.4,1705.6,1705.4,1705.5
202211100916,1705.1,1705.2,1705,1705.2,1705.5,1705.6,1705.4,1705.6
202211100917,1705.2,1705.2,1705,1705,1705.6,1705.6,1705.4,1705.4
202211100918,1705,1705.3,1705,1705.2,1705.4,1705.7,1705.4,1705.6
202211100919,1705.2,1705.7,1705.2,1705.7,1705.6,1706.1,1705.6,1706.1
202211100920,1705.7,1706,1705.7,1706,1706.1,1706.4,1706.1,1706.4
202211100921,1706,1706,1705.7,1705.9,1706.4,1706.4,1706.1,1706.3
202211100922,1705.9,1706.2,1705.8,1706.2,1706.3,1706.6,1706.2,1706.6
202211100923,1706.2,1706.4,1706.1,1706.4,1706.6,1706.8,1706.5,1706.8
202211100924,1706.4,1706.5,1706.1,1706.2,1706.8,1706.9,1706.5,1706.6
202211100925,1706.2,1706.2,1706.1,1706.1,1706.6,1706.6,1706.5,1706.5
202211100926,1706.1,1706.4,1706.1,1706.4,1706.5,1706.8,1706.5,1706.8
202211100927,1706.3,1706.4,1706,1706,1706.7,1706.8,1706.4,1706.4
202211100928,1706,1706.1,1705.7,1705.7,1706.4,1706.5,1706.1,1706.1
202211100929,1705.7,1705.8,1705.7,1705.8,1706.1,1706.2,1706.1,1706.2
202211100930,1705.8,1706.1,1705.8,1706,1706.2,1706.5,1706.2,1706.4
202211100931,1706,1706.1,1706,1706.1,1706.4,1706.5,1706.4,1706.5
202211100932,1706.1,1706.1,1705.8,1705.9,1706.5,1706.5,1706.2,1706.3
