日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202208310700,1723.3,1723.4,1722.9,1723,1723.8,1723.9,1723.5,1723.5
202208310701,1723,1723.5,1722.8,1723.4,1723.5,1724,1723.5,1723.9
202208310702,1723.4,1723.6,1723.1,1723.3,1723.9,1724.1,1723.6,1723.8
202208310703,1723.3,1723.4,1723.2,1723.4,1723.8,1723.9,1723.8,1723.9
202208310704,1723.4,1723.4,1723,1723,1723.9,1723.9,1723.5,1723.5
202208310705,1723.1,1723.1,1723,1723,1723.6,1723.7,1723.5,1723.5
202208310706,1723,1723,1722.9,1722.9,1723.5,1723.5,1723.4,1723.4
202208310707,1722.9,1723,1722.9,1723,1723.4,1723.5,1723.4,1723.5
202208310708,1723,1723,1722.9,1723,1723.5,1723.5,1723.5,1723.5
202208310709,1723,1723,1722.9,1722.9,1723.5,1723.5,1723.4,1723.4
202208310710,1723,1723,1722.9,1722.9,1723.5,1723.5,1723.4,1723.4
202208310711,1722.9,1723,1722.9,1723,1723.4,1723.5,1723.4,1723.5
202208310712,1723,1723,1722.9,1723,1723.5,1723.5,1723.4,1723.5
202208310713,1723,1723,1722.7,1722.8,1723.5,1723.5,1723.3,1723.4
202208310714,1722.8,1722.8,1722.8,1722.8,1723.4,1723.4,1723.4,1723.4
202208310715,1722.8,1722.8,1722.7,1722.8,1723.4,1723.4,1723.3,1723.3
202208310716,1722.8,1722.8,1722.7,1722.8,1723.3,1723.4,1723.3,1723.4
202208310717,1722.8,1722.8,1722.4,1722.4,1723.4,1723.4,1723,1723
202208310718,1722.4,1722.6,1722.3,1722.3,1723,1723.1,1722.8,1722.9
202208310719,1722.3,1722.4,1722.3,1722.4,1722.9,1723,1722.8,1723
202208310720,1722.4,1722.5,1722.3,1722.5,1723,1723,1722.9,1723
202208310721,1722.5,1722.6,1722.5,1722.5,1723,1723.1,1722.9,1722.9
202208310722,1722.4,1722.5,1722.4,1722.5,1722.9,1723,1722.9,1723
202208310723,1722.5,1722.5,1722.5,1722.5,1722.9,1723,1722.9,1723
202208310724,1722.5,1722.6,1722.5,1722.6,1723,1723.1,1723,1723.1
202208310725,1722.7,1722.8,1722.7,1722.8,1723.2,1723.3,1723.2,1723.3
202208310726,1722.8,1722.8,1722.7,1722.7,1723.3,1723.3,1723.1,1723.2
202208310727,1722.7,1722.8,1722.7,1722.7,1723.2,1723.2,1723.1,1723.2
202208310728,1722.7,1722.8,1722.7,1722.7,1723.2,1723.3,1723.1,1723.1
202208310729,1722.7,1722.9,1722.5,1722.6,1723.1,1723.5,1723.1,1723.1
202208310730,1722.6,1722.6,1722.5,1722.5,1723.1,1723.1,1722.9,1723
202208310731,1722.5,1722.5,1722.5,1722.5,1723,1723,1723,1723
202208310732,1722.5,1722.8,1722.5,1722.8,1723,1723.2,1723,1723.2
202208310733,1722.8,1722.8,1722.6,1722.7,1723.2,1723.2,1723.1,1723.1
202208310734,1722.7,1722.8,1722.5,1722.5,1723.1,1723.2,1723,1723
202208310735,1722.5,1722.6,1722.4,1722.5,1723,1723.1,1722.9,1722.9
202208310736,1722.5,1722.6,1722.4,1722.4,1723,1723,1722.9,1722.9
202208310737,1722.4,1722.5,1722.4,1722.5,1722.9,1723,1722.9,1723
202208310738,1722.6,1722.6,1722.5,1722.5,1723.1,1723.1,1722.9,1722.9
202208310739,1722.5,1722.5,1722.5,1722.5,1722.9,1722.9,1722.9,1722.9
202208310740,1722.5,1722.5,1722.4,1722.5,1722.9,1723,1722.9,1722.9
202208310741,1722.5,1722.5,1722.5,1722.5,1722.9,1723,1722.9,1723
202208310742,1722.5,1722.5,1722.4,1722.4,1723,1723,1722.8,1722.8
202208310743,1722.4,1722.4,1722.3,1722.3,1722.8,1722.9,1722.8,1722.8
202208310744,1722.3,1722.4,1722.3,1722.3,1722.8,1722.8,1722.7,1722.7
202208310745,1722.3,1722.5,1722.3,1722.4,1722.7,1722.9,1722.7,1722.9
202208310746,1722.4,1722.5,1722.4,1722.4,1722.9,1722.9,1722.8,1722.9
202208310747,1722.4,1722.4,1722.3,1722.4,1722.9,1722.9,1722.8,1722.9
202208310748,1722.4,1722.5,1722.4,1722.5,1722.9,1722.9,1722.9,1722.9
202208310749,1722.5,1722.5,1722.4,1722.5,1722.9,1722.9,1722.9,1722.9
202208310750,1722.5,1722.5,1722.5,1722.5,1722.9,1723,1722.9,1723
202208310751,1722.5,1722.5,1722.4,1722.4,1723,1723,1722.9,1722.9
202208310752,1722.4,1722.6,1722.1,1722.1,1722.9,1723,1722.7,1722.7
202208310753,1722.1,1722.4,1722.1,1722.4,1722.7,1723,1722.7,1723
202208310754,1722.4,1722.6,1722.4,1722.6,1723,1723.1,1722.9,1723
202208310755,1722.6,1722.7,1722.6,1722.6,1723,1723.2,1723,1723.1
202208310756,1722.6,1722.8,1722.6,1722.8,1723.1,1723.2,1723.1,1723.2
202208310757,1722.8,1722.8,1722.7,1722.8,1723.2,1723.3,1723.2,1723.3
202208310758,1722.8,1722.9,1722.8,1722.9,1723.3,1723.3,1723.3,1723.3
202208310759,1722.9,1722.9,1722.8,1722.8,1723.3,1723.3,1723.2,1723.2
202208310800,1722.8,1722.8,1722.7,1722.7,1723.2,1723.3,1723.2,1723.2
202208310801,1722.7,1722.7,1722.6,1722.6,1723.2,1723.2,1723.1,1723.1
202208310802,1722.6,1722.7,1722.6,1722.6,1723.1,1723.1,1723.1,1723.1
202208310803,1722.6,1722.8,1722.6,1722.8,1723.1,1723.3,1723.1,1723.3
202208310804,1722.8,1722.9,1722.7,1722.8,1723.3,1723.3,1723.2,1723.3
202208310805,1722.8,1722.9,1722.7,1722.9,1723.3,1723.4,1723.2,1723.4
