日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202106280700,1781.2,1781.6,1780.5,1781.5,1781.9,1782.1,1781.2,1781.9
202106280701,1781.5,1781.8,1781.4,1781.7,1781.9,1782.2,1781.8,1782.1
202106280702,1781.7,1781.9,1781.6,1781.7,1782.1,1782.3,1782,1782.1
202106280703,1781.7,1781.7,1781.4,1781.5,1782.1,1782.1,1781.8,1781.9
202106280704,1781.5,1781.5,1781.2,1781.2,1781.9,1781.9,1781.6,1781.6
202106280705,1781.2,1781.3,1781.2,1781.3,1781.6,1781.7,1781.6,1781.7
202106280706,1781.3,1781.4,1781.2,1781.2,1781.7,1781.8,1781.6,1781.6
202106280707,1781.2,1781.2,1780.9,1781,1781.6,1781.6,1781.3,1781.4
202106280708,1781,1781.1,1781,1781,1781.4,1781.5,1781.4,1781.4
202106280709,1781,1781,1780.8,1781,1781.4,1781.4,1781.2,1781.4
202106280710,1781,1781,1780.5,1780.5,1781.4,1781.4,1780.9,1781
202106280711,1780.5,1780.7,1780.5,1780.7,1781,1781.1,1781,1781.1
202106280712,1780.7,1780.9,1780.7,1780.9,1781.1,1781.3,1781.1,1781.3
202106280713,1780.9,1781.1,1780.9,1781.1,1781.3,1781.5,1781.3,1781.5
202106280714,1781.1,1781.1,1781,1781,1781.5,1781.5,1781.4,1781.4
202106280715,1781,1781.1,1781,1781,1781.4,1781.5,1781.4,1781.4
202106280716,1781.1,1781.2,1781.1,1781.1,1781.5,1781.6,1781.5,1781.5
202106280717,1781.1,1781.2,1781.1,1781.1,1781.5,1781.6,1781.5,1781.5
202106280718,1781.1,1781.1,1780.9,1781.1,1781.5,1781.5,1781.3,1781.5
202106280719,1781.1,1781.1,1781,1781.1,1781.5,1781.5,1781.4,1781.5
202106280720,1781.1,1781.2,1781.1,1781.1,1781.5,1781.6,1781.5,1781.5
202106280721,1781.1,1781.2,1781.1,1781.2,1781.5,1781.6,1781.5,1781.6
202106280722,1781.2,1781.4,1781.2,1781.4,1781.6,1781.8,1781.6,1781.8
202106280723,1781.4,1781.6,1781.4,1781.6,1781.8,1782,1781.8,1782
202106280724,1781.6,1781.7,1781.6,1781.6,1782,1782.1,1782,1782
202106280725,1781.6,1781.7,1781.5,1781.6,1782,1782.1,1781.9,1782
202106280726,1781.6,1781.6,1781.6,1781.6,1782,1782,1782,1782
202106280727,1781.6,1781.6,1781.6,1781.6,1782,1782,1782,1782
202106280728,1781.6,1781.7,1781.5,1781.6,1782,1782.1,1781.9,1782
202106280729,1781.6,1781.6,1781.5,1781.6,1782,1782,1781.9,1782
202106280730,1781.6,1781.6,1781.5,1781.5,1782,1782,1781.9,1781.9
202106280731,1781.5,1781.5,1781.5,1781.5,1781.9,1781.9,1781.9,1781.9
202106280732,1781.5,1781.5,1781.2,1781.3,1781.9,1781.9,1781.6,1781.7
202106280733,1781.3,1781.4,1781.3,1781.3,1781.7,1781.8,1781.7,1781.7
202106280734,1781.3,1781.5,1781.3,1781.4,1781.7,1781.9,1781.7,1781.8
202106280735,1781.4,1781.4,1781.4,1781.4,1781.8,1781.8,1781.8,1781.8
202106280736,1781.4,1781.7,1781.4,1781.7,1781.8,1782.1,1781.8,1782.1
202106280737,1781.7,1781.7,1781.3,1781.4,1782.1,1782.1,1781.7,1781.8
202106280738,1781.4,1781.5,1781.3,1781.4,1781.8,1781.9,1781.7,1781.8
202106280739,1781.4,1781.4,1781.3,1781.3,1781.8,1781.8,1781.7,1781.7
202106280740,1781.3,1781.4,1781.2,1781.2,1781.7,1781.8,1781.6,1781.6
202106280741,1781.2,1781.2,1781,1781,1781.6,1781.6,1781.4,1781.4
202106280742,1781,1781.1,1781,1781,1781.4,1781.5,1781.4,1781.4
202106280743,1781,1781,1780.8,1780.9,1781.4,1781.4,1781.2,1781.3
202106280744,1780.9,1781,1780.9,1781,1781.3,1781.4,1781.3,1781.4
202106280745,1781,1781.8,1781,1781.7,1781.4,1782.2,1781.4,1782.1
202106280746,1781.7,1781.8,1781.3,1781.4,1782.1,1782.2,1781.7,1781.8
202106280747,1781.4,1781.6,1781.4,1781.6,1781.8,1782,1781.8,1782
202106280748,1781.6,1781.8,1781.5,1781.6,1782,1782.2,1781.9,1782
202106280749,1781.6,1781.9,1781.6,1781.9,1782,1782.3,1782,1782.3
202106280750,1781.9,1782.2,1781.9,1782,1782.3,1782.6,1782.3,1782.4
202106280751,1782,1782.4,1781.9,1782.4,1782.4,1782.8,1782.3,1782.8
202106280752,1782.4,1782.4,1782.3,1782.4,1782.8,1782.8,1782.7,1782.8
202106280753,1782.4,1782.6,1782.4,1782.6,1782.8,1783,1782.8,1783
202106280754,1782.6,1782.7,1782.6,1782.6,1783,1783.1,1783,1783
202106280755,1782.6,1782.7,1782.6,1782.6,1783,1783.1,1783,1783
202106280756,1782.7,1782.7,1782.5,1782.6,1783.1,1783.1,1782.9,1783
202106280757,1782.6,1782.7,1782.5,1782.5,1783,1783.1,1782.9,1782.9
202106280758,1782.5,1782.7,1782.5,1782.7,1782.9,1783.1,1782.9,1783.1
202106280759,1782.7,1782.7,1782.6,1782.7,1783.1,1783.1,1783,1783.1
202106280800,1782.7,1782.7,1782.2,1782.5,1783.1,1783.1,1782.6,1782.9
202106280801,1782.5,1782.6,1782.5,1782.5,1782.9,1783,1782.9,1782.9
202106280802,1782.5,1782.6,1782.5,1782.5,1782.9,1783,1782.9,1782.9
202106280803,1782.5,1782.5,1782.4,1782.5,1782.9,1782.9,1782.8,1782.9
202106280804,1782.4,1782.5,1782.3,1782.3,1782.8,1782.9,1782.7,1782.7
202106280805,1782.3,1782.5,1782.2,1782.4,1782.7,1782.9,1782.6,1782.8
202106280806,1782.4,1782.5,1782.3,1782.3,1782.8,1782.9,1782.7,1782.7
202106280807,1782.3,1782.4,1782.3,1782.4,1782.7,1782.8,1782.7,1782.8
202106280808,1782.4,1782.4,1782.3,1782.4,1782.8,1782.8,1782.7,1782.8
202106280809,1782.4,1782.5,1782.3,1782.5,1782.8,1782.9,1782.7,1782.9
202106280810,1782.5,1782.5,1782.3,1782.3,1782.9,1782.9,1782.7,1782.7
202106280811,1782.3,1782.4,1782.1,1782.1,1782.7,1782.8,1782.5,1782.5
202106280812,1782.1,1782.3,1782.1,1782.3,1782.5,1782.7,1782.5,1782.7
202106280813,1782.3,1782.3,1782.2,1782.2,1782.7,1782.7,1782.6,1782.6
202106280814,1782.2,1782.5,1782.2,1782.5,1782.6,1782.9,1782.6,1782.9
202106280815,1782.5,1782.6,1782.5,1782.6,1782.9,1783,1782.9,1783
202106280816,1782.6,1782.7,1782.6,1782.7,1783,1783.1,1783,1783.1
202106280817,1782.7,1782.7,1782.4,1782.4,1783.1,1783.1,1782.8,1782.8
202106280818,1782.4,1782.4,1782.1,1782.2,1782.8,1782.8,1782.5,1782.6
202106280819,1782.2,1782.2,1782.1,1782.1,1782.6,1782.6,1782.5,1782.5
