日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202004220700,1686.6,1686.6,1685.1,1686.3,1687.9,1688.4,1687.5,1687.8
202004220701,1686.4,1687.1,1686.3,1687.1,1688,1688.6,1688,1688.5
202004220702,1687.1,1687.4,1685.8,1686.7,1688.5,1689,1688.2,1688.2
202004220703,1686.7,1686.7,1684.7,1685.3,1688.2,1688.3,1687,1687
202004220704,1685.3,1685.9,1682.6,1684.5,1687,1688,1686,1686
202004220705,1684.5,1685.6,1682.9,1685.4,1686,1687.6,1685.9,1686.9
202004220706,1685.4,1686.3,1685.2,1686.3,1686.9,1687.4,1686.5,1687
202004220707,1686.5,1687.4,1686.1,1687.4,1687.2,1687.9,1686.7,1687.9
202004220708,1687.4,1688.5,1687,1688.5,1687.9,1688.9,1687.6,1688.9
202004220709,1688.5,1689.1,1687.3,1688.5,1688.9,1689.5,1688.1,1689.1
202004220710,1688.7,1688.9,1686.6,1686.6,1689.3,1689.3,1687.9,1687.9
202004220711,1686.6,1688.7,1686.3,1688.3,1687.9,1689.1,1687.8,1688.7
202004220712,1688.3,1689.5,1688.2,1688.4,1688.7,1689.9,1688.6,1688.8
202004220713,1688.4,1688.8,1688,1688.6,1688.8,1689.2,1688.4,1689
202004220714,1688.6,1688.6,1688.2,1688.3,1689,1689,1688.6,1688.7
202004220715,1688.3,1688.9,1688.3,1688.9,1688.7,1689.3,1688.7,1689.3
202004220716,1688.9,1689.2,1688.7,1688.8,1689.3,1689.6,1689.1,1689.2
202004220717,1688.8,1689.3,1688.6,1689.3,1689.2,1689.8,1689,1689.8
202004220718,1689.2,1689.3,1688.7,1688.9,1689.7,1689.7,1689.1,1689.3
202004220719,1688.9,1689,1688.7,1688.9,1689.3,1689.4,1689.1,1689.3
202004220720,1688.9,1688.9,1687.8,1687.8,1689.3,1689.3,1688.2,1688.2
202004220721,1687.8,1688.2,1687.8,1688,1688.2,1688.6,1688.2,1688.4
202004220722,1688,1688,1687.6,1687.8,1688.4,1688.4,1688.2,1688.2
202004220723,1687.8,1688,1687.8,1688,1688.2,1688.4,1688.2,1688.4
202004220724,1688,1688.1,1687.2,1687.4,1688.4,1688.5,1688,1688
202004220725,1687.2,1687.4,1686.9,1687,1688,1688.2,1687.8,1687.9
202004220726,1687,1687.4,1687,1687.1,1687.8,1688.1,1687.8,1688
202004220727,1687.1,1687.4,1686.6,1687.1,1688,1688.1,1687.7,1687.9
202004220728,1687.1,1687.3,1685.4,1685.9,1687.9,1688,1686.7,1686.9
202004220729,1685.9,1686,1685.9,1686,1687,1687,1686.9,1686.9
202004220730,1686,1686.6,1686,1686.6,1686.9,1687.6,1686.9,1687.6
202004220731,1686.6,1687.7,1686.6,1687.6,1687.6,1688.1,1687.6,1688.1
202004220732,1687.5,1687.5,1687.4,1687.4,1688.1,1688.1,1687.9,1687.9
202004220733,1687.4,1687.4,1686.4,1686.6,1687.9,1687.9,1687.5,1687.6
202004220734,1686.6,1687.1,1686.6,1687.1,1687.6,1688,1687.5,1687.8
202004220735,1687.1,1688,1687.1,1687.9,1687.8,1688.4,1687.8,1688.3
202004220736,1687.8,1688,1687.4,1687.5,1688.2,1688.4,1688,1688
202004220737,1687.5,1687.5,1687.2,1687.5,1688,1688,1687.9,1688
202004220738,1687.5,1687.7,1687.4,1687.6,1688,1688.1,1688,1688
202004220739,1687.7,1688.2,1687.4,1688.2,1688.1,1688.6,1688,1688.6
202004220740,1688.2,1688.2,1687.8,1688,1688.6,1688.6,1688.2,1688.4
202004220741,1688,1688.1,1687.9,1687.9,1688.4,1688.5,1688.3,1688.3
202004220742,1687.9,1687.9,1687.8,1687.8,1688.3,1688.3,1688.2,1688.2
