日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
201902220800,1323.4,1323.7,1323.2,1323.7,1323.9,1324.1,1323.7,1324.1
201902220801,1323.7,1323.9,1323.6,1323.9,1324.1,1324.3,1324,1324.3
201902220802,1323.9,1324,1323.9,1324,1324.3,1324.4,1324.3,1324.4
201902220803,1324,1324.2,1324,1324.2,1324.4,1324.6,1324.4,1324.6
201902220804,1324.2,1324.4,1324.1,1324.3,1324.6,1324.8,1324.5,1324.7
201902220805,1324.2,1324.3,1324.2,1324.2,1324.6,1324.7,1324.6,1324.6
201902220806,1324.2,1324.3,1324.2,1324.3,1324.6,1324.7,1324.6,1324.7
201902220807,1324.3,1324.4,1324.3,1324.4,1324.7,1324.8,1324.7,1324.8
201902220808,1324.4,1324.4,1324.3,1324.3,1324.8,1324.8,1324.7,1324.7
201902220809,1324.3,1324.3,1324.3,1324.3,1324.7,1324.7,1324.7,1324.7
201902220810,1324.3,1324.4,1324.3,1324.3,1324.7,1324.8,1324.7,1324.7
201902220811,1324.3,1324.4,1324.3,1324.4,1324.7,1324.8,1324.7,1324.8
201902220812,1324.4,1324.4,1324.3,1324.3,1324.8,1324.8,1324.7,1324.7
201902220813,1324.3,1324.3,1324.3,1324.3,1324.7,1324.7,1324.7,1324.7
201902220814,1324.3,1324.3,1324.3,1324.3,1324.7,1324.7,1324.7,1324.7
201902220815,1324.3,1324.3,1324.3,1324.3,1324.7,1324.7,1324.7,1324.7
201902220816,1324.3,1324.5,1324.3,1324.5,1324.7,1324.9,1324.7,1324.9
201902220817,1324.5,1324.6,1324.4,1324.6,1324.9,1325,1324.8,1325
201902220818,1324.6,1324.8,1324.6,1324.7,1325,1325.2,1325,1325.1
201902220819,1324.7,1324.8,1324.7,1324.7,1325.1,1325.2,1325.1,1325.1
201902220820,1324.8,1324.8,1324.7,1324.7,1325.2,1325.2,1325.1,1325.1
201902220821,1324.7,1324.7,1324.7,1324.7,1325.1,1325.1,1325.1,1325.1
201902220822,1324.8,1324.9,1324.8,1324.8,1325.2,1325.3,1325.2,1325.2
201902220823,1324.8,1325,1324.8,1324.9,1325.2,1325.4,1325.2,1325.3
201902220824,1324.9,1325,1324.9,1324.9,1325.3,1325.4,1325.3,1325.3
201902220825,1324.9,1325,1324.9,1325,1325.3,1325.4,1325.3,1325.4
201902220826,1325,1325,1324.9,1325,1325.4,1325.4,1325.3,1325.4
201902220827,1325,1325.1,1325,1325.1,1325.4,1325.5,1325.4,1325.5
201902220828,1325.1,1325.1,1325.1,1325.1,1325.5,1325.5,1325.5,1325.5
201902220829,1325.1,1325.2,1325.1,1325.1,1325.5,1325.6,1325.5,1325.5
201902220830,1325.1,1325.1,1324.9,1325.1,1325.5,1325.5,1325.3,1325.5
201902220831,1325.1,1325.1,1325.1,1325.1,1325.5,1325.5,1325.5,1325.5
201902220832,1325.1,1325.1,1325,1325.1,1325.5,1325.5,1325.4,1325.5
201902220833,1325.1,1325.1,1325,1325.1,1325.5,1325.5,1325.4,1325.5
201902220834,1325.1,1325.1,1325.1,1325.1,1325.5,1325.5,1325.5,1325.5
201902220835,1325.1,1325.2,1325.1,1325.2,1325.5,1325.6,1325.5,1325.6
201902220836,1325.2,1325.2,1325.2,1325.2,1325.6,1325.6,1325.6,1325.6
201902220837,1325.3,1325.4,1325.2,1325.3,1325.7,1325.8,1325.6,1325.7
201902220838,1325.3,1325.4,1325.2,1325.3,1325.7,1325.8,1325.6,1325.7
201902220839,1325.3,1325.3,1325.2,1325.3,1325.7,1325.7,1325.6,1325.7
201902220840,1325.3,1325.5,1325.2,1325.5,1325.7,1325.9,1325.6,1325.9
201902220841,1325.5,1325.5,1325.1,1325.2,1325.9,1325.9,1325.5,1325.6
201902220842,1325.2,1325.2,1325.1,1325.1,1325.6,1325.6,1325.5,1325.5
201902220843,1325.1,1325.2,1325.1,1325.1,1325.5,1325.6,1325.5,1325.5
201902220844,1325.1,1325.1,1325.1,1325.1,1325.5,1325.5,1325.5,1325.5
201902220845,1325.1,1325.1,1325,1325.1,1325.5,1325.5,1325.4,1325.5
201902220846,1325.1,1325.2,1325.1,1325.2,1325.5,1325.6,1325.5,1325.6
201902220847,1325.2,1325.3,1325.2,1325.3,1325.6,1325.7,1325.6,1325.7
201902220848,1325.3,1325.3,1325.2,1325.3,1325.7,1325.7,1325.6,1325.7
201902220849,1325.3,1325.4,1325.3,1325.4,1325.7,1325.8,1325.7,1325.8
201902220850,1325.4,1325.5,1325.4,1325.5,1325.8,1325.9,1325.8,1325.9
201902220851,1325.5,1325.5,1325.4,1325.4,1325.9,1325.9,1325.8,1325.8
201902220852,1325.4,1325.5,1325.4,1325.4,1325.8,1325.9,1325.8,1325.8
201902220853,1325.4,1325.6,1325.4,1325.5,1325.8,1326,1325.8,1325.9
201902220854,1325.5,1325.5,1325.4,1325.4,1325.9,1325.9,1325.8,1325.8
201902220855,1325.4,1325.5,1325.4,1325.5,1325.8,1325.9,1325.8,1325.9
201902220856,1325.5,1325.6,1325.5,1325.6,1325.9,1326,1325.9,1326
201902220857,1325.6,1325.6,1325.6,1325.6,1326,1326,1326,1326
201902220858,1325.6,1325.6,1325.5,1325.6,1326,1326,1325.9,1326
201902220859,1325.6,1325.8,1325.6,1325.8,1326,1326.2,1326,1326.2
201902220900,1325.8,1325.8,1325.8,1325.8,1326.2,1326.2,1326.2,1326.2
201902220901,1325.8,1325.8,1325.7,1325.8,1326.2,1326.2,1326.1,1326.2
201902220902,1325.8,1326,1325.8,1325.9,1326.2,1326.4,1326.2,1326.3
201902220903,1325.9,1325.9,1325.8,1325.8,1326.3,1326.3,1326.2,1326.2
201902220904,1325.9,1326.1,1325.8,1326.1,1326.3,1326.5,1326.2,1326.5
201902220905,1326.1,1326.3,1326,1326.2,1326.5,1326.7,1326.4,1326.6
201902220906,1326.2,1326.3,1326.1,1326.2,1326.6,1326.7,1326.5,1326.6
201902220907,1326.2,1326.2,1326,1326,1326.6,1326.6,1326.4,1326.4
201902220908,1326,1326.2,1326,1326.1,1326.4,1326.6,1326.4,1326.5
201902220909,1326.1,1326.2,1326.1,1326.2,1326.5,1326.6,1326.5,1326.6
201902220910,1326.2,1326.2,1326,1326.1,1326.6,1326.6,1326.4,1326.5
201902220911,1326.1,1326.1,1325.8,1325.8,1326.5,1326.5,1326.2,1326.2
201902220912,1325.8,1325.9,1325.8,1325.8,1326.2,1326.3,1326.2,1326.2
201902220913,1325.8,1325.8,1325.5,1325.5,1326.2,1326.2,1325.9,1325.9
201902220914,1325.5,1325.6,1325.4,1325.5,1325.9,1326,1325.8,1325.9
201902220915,1325.5,1325.6,1325.5,1325.5,1325.9,1326,1325.9,1325.9
201902220916,1325.5,1325.6,1325.5,1325.5,1325.9,1326,1325.9,1325.9
201902220917,1325.5,1325.6,1325.4,1325.5,1325.9,1326,1325.8,1325.9
201902220918,1325.4,1325.5,1325.3,1325.3,1325.8,1325.9,1325.7,1325.7
201902220919,1325.3,1325.3,1325.3,1325.3,1325.7,1325.7,1325.7,1325.7
201902220920,1325.3,1325.3,1325.2,1325.2,1325.7,1325.7,1325.6,1325.6
