日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202206130700,1871.8,1876.1,1871.8,1874.4,1876.8,1878.7,1874.9,1876.7
202206130701,1874,1876.3,1874,1875,1876.3,1878.8,1876.3,1877.1
202206130702,1875,1876.8,1874.7,1876.2,1877.1,1878.4,1876.9,1878.4
202206130703,1876.6,1878.1,1876.5,1877.2,1878.2,1879.8,1878.2,1878.2
202206130704,1877.2,1877.5,1876.2,1877,1878.2,1878.5,1877.6,1877.7
202206130705,1877,1878.7,1876.6,1877.9,1877.7,1879.1,1877.5,1878.7
202206130706,1878,1878.3,1877.5,1877.9,1878.7,1878.9,1878.3,1878.5
202206130707,1877.9,1877.9,1877.5,1877.7,1878.5,1878.8,1878.1,1878.1
202206130708,1877.7,1878.2,1877.6,1877.7,1878.1,1878.8,1878,1878.5
202206130709,1877.7,1878,1877.6,1877.6,1878.5,1878.5,1878.1,1878.4
202206130710,1877.4,1877.9,1877.3,1877.3,1878.4,1878.8,1878.2,1878.3
202206130711,1877.3,1877.3,1877,1877,1878.2,1878.4,1878,1878
202206130712,1877.1,1877.7,1877.1,1877.7,1878,1878.2,1877.6,1878.2
202206130713,1877.7,1877.8,1877.3,1877.8,1878.2,1878.4,1878.1,1878.4
202206130714,1877.7,1877.9,1877.4,1877.6,1878.6,1878.8,1878.2,1878.4
202206130715,1877.6,1877.9,1877,1877.7,1878.4,1878.5,1877.7,1878.5
202206130716,1877.6,1877.8,1877.5,1877.8,1878.4,1878.4,1878.1,1878.4
202206130717,1877.8,1877.8,1877.3,1877.4,1878.4,1878.5,1878,1878.1
202206130718,1877.4,1877.4,1876,1876,1878.1,1878.1,1876.9,1876.9
202206130719,1876,1876.5,1875.8,1876.1,1876.8,1877.1,1876.4,1876.8
202206130720,1876.1,1876.1,1875.6,1875.7,1876.8,1876.8,1876.2,1876.4
202206130721,1875.7,1875.9,1875.7,1875.8,1876.2,1876.6,1876.2,1876.4
202206130722,1875.8,1876,1875.7,1876,1876.4,1876.6,1876.3,1876.4
202206130723,1876,1876.4,1876,1876.4,1876.4,1876.8,1876.4,1876.8
202206130724,1876.3,1876.4,1876,1876.2,1876.7,1876.9,1876.4,1876.6
202206130725,1876.2,1876.5,1876.2,1876.5,1876.6,1876.9,1876.6,1876.9
202206130726,1876.5,1876.8,1876.4,1876.8,1876.9,1877.2,1876.8,1877.2
202206130727,1876.8,1876.8,1876.4,1876.5,1877.2,1877.2,1876.8,1876.9
202206130728,1876.5,1876.6,1876.4,1876.5,1876.9,1877,1876.8,1876.9
202206130729,1876.5,1876.9,1876.3,1876.3,1876.9,1877.3,1876.7,1876.7
202206130730,1876.3,1876.3,1875.6,1876.2,1876.7,1876.7,1876,1876.6
202206130731,1876.2,1876.5,1876,1876.1,1876.6,1876.9,1876.4,1876.5
202206130732,1876.1,1876.3,1875.9,1876.1,1876.5,1876.7,1876.3,1876.5
202206130733,1876.1,1876.2,1875.9,1875.9,1876.5,1876.6,1876.4,1876.5
202206130734,1876,1876.2,1875.9,1876,1876.5,1876.6,1876.4,1876.5
202206130735,1876.1,1876.2,1876,1876.1,1876.5,1876.6,1876.4,1876.5
202206130736,1876.1,1876.2,1876,1876.1,1876.5,1876.6,1876.4,1876.5
202206130737,1876.1,1876.3,1876,1876.2,1876.5,1876.7,1876.4,1876.6
202206130738,1876.2,1876.5,1876,1876.2,1876.6,1876.9,1876.4,1876.6
202206130739,1876.2,1876.3,1875.8,1875.9,1876.6,1876.7,1876.2,1876.3
202206130740,1875.9,1876.1,1875.8,1875.9,1876.3,1876.6,1876.2,1876.3
202206130741,1875.9,1876.1,1875.8,1876,1876.3,1876.5,1876.2,1876.4
202206130742,1876,1876,1875.7,1875.7,1876.4,1876.4,1876.1,1876.1
202206130743,1875.6,1876,1875.6,1875.6,1876,1876.4,1876,1876
202206130744,1875.9,1875.9,1875.3,1875.4,1876.3,1876.3,1875.8,1875.8
202206130745,1875.4,1875.4,1875.3,1875.3,1875.8,1875.8,1875.7,1875.7
202206130746,1875.2,1875.5,1875.2,1875.5,1875.6,1875.9,1875.6,1875.9
202206130747,1875.5,1875.6,1875.3,1875.6,1875.9,1876,1875.7,1876
202206130748,1875.6,1875.7,1875.5,1875.5,1876,1876.1,1875.9,1875.9
202206130749,1875.5,1875.5,1875.4,1875.5,1875.9,1876,1875.9,1875.9
202206130750,1875.5,1875.9,1875.4,1875.8,1875.9,1876.3,1875.8,1876.2
202206130751,1875.8,1875.9,1875.5,1875.5,1876.2,1876.3,1875.9,1875.9
202206130752,1875.5,1875.5,1875.4,1875.4,1875.9,1875.9,1875.8,1875.8
202206130753,1875.4,1875.6,1875.3,1875.6,1875.8,1876,1875.7,1876
202206130754,1875.6,1875.7,1875.6,1875.6,1876,1876.1,1876,1876
202206130755,1875.6,1875.6,1875.3,1875.5,1876,1876,1875.8,1875.9
202206130756,1875.5,1876.3,1875.4,1876.2,1875.9,1876.7,1875.8,1876.6
202206130757,1876.1,1876.3,1875.8,1875.8,1876.5,1876.7,1876.2,1876.2
202206130758,1875.8,1876,1875.8,1876,1876.2,1876.4,1876.2,1876.4
202206130759,1876,1876,1875.9,1876,1876.4,1876.4,1876.3,1876.4
202206130800,1876,1876,1875.4,1875.5,1876.4,1876.4,1875.8,1875.9
202206130801,1875.5,1875.5,1875.4,1875.4,1875.9,1875.9,1875.8,1875.8
202206130802,1875.4,1875.6,1875.1,1875.2,1875.8,1876,1875.6,1875.6
202206130803,1875.3,1875.5,1875.2,1875.2,1875.7,1875.9,1875.6,1875.6
202206130804,1875.2,1875.6,1875.2,1875.5,1875.6,1876,1875.6,1875.9
202206130805,1875.5,1875.7,1875.2,1875.3,1875.9,1876.1,1875.6,1875.7
202206130806,1875.3,1875.3,1875.1,1875.1,1875.7,1875.7,1875.5,1875.5
202206130807,1875.2,1875.6,1875.1,1875.4,1875.6,1876,1875.5,1875.8
202206130808,1875.4,1875.5,1875.3,1875.5,1875.8,1875.9,1875.7,1875.9
202206130809,1875.4,1875.4,1875,1875.3,1875.8,1876.1,1875.6,1875.9
202206130810,1875.3,1875.4,1875.2,1875.2,1875.9,1876.2,1875.9,1875.9
202206130811,1875.2,1875.5,1875.1,1875.5,1876,1876.2,1875.7,1875.9
202206130812,1875.5,1875.8,1875.5,1875.7,1875.9,1876.2,1875.9,1876.1
