日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
201805180700,1290.6,1290.8,1290.4,1290.4,1291.2,1291.2,1290.8,1290.8
201805180701,1290.4,1290.5,1290.4,1290.4,1290.8,1290.9,1290.8,1290.8
201805180702,1290.4,1290.4,1290.4,1290.4,1290.8,1290.9,1290.8,1290.8
201805180703,1290.4,1290.4,1290.3,1290.4,1290.8,1290.9,1290.7,1290.8
201805180704,1290.4,1290.5,1290.3,1290.5,1290.8,1290.9,1290.7,1290.9
201805180705,1290.5,1290.6,1290.5,1290.5,1290.9,1291,1290.9,1290.9
201805180706,1290.5,1290.5,1290.4,1290.4,1290.9,1290.9,1290.8,1290.8
201805180707,1290.4,1290.4,1290.3,1290.3,1290.8,1290.8,1290.7,1290.7
201805180708,1290.3,1290.4,1290.3,1290.3,1290.7,1290.8,1290.7,1290.7
201805180709,1290.3,1290.3,1290.2,1290.3,1290.7,1290.7,1290.6,1290.7
201805180710,1290.3,1290.3,1290.2,1290.3,1290.7,1290.7,1290.6,1290.7
201805180711,1290.2,1290.3,1290.2,1290.3,1290.6,1290.7,1290.6,1290.7
201805180712,1290.3,1290.4,1290.3,1290.4,1290.7,1290.8,1290.7,1290.8
201805180713,1290.3,1290.4,1290.3,1290.3,1290.7,1290.8,1290.7,1290.7
201805180714,1290.3,1290.3,1290.3,1290.3,1290.7,1290.7,1290.7,1290.7
201805180715,1290.3,1290.4,1290.3,1290.4,1290.7,1290.8,1290.7,1290.8
201805180716,1290.4,1290.4,1290.3,1290.3,1290.8,1290.8,1290.7,1290.7
201805180717,1290.3,1290.4,1290.3,1290.4,1290.7,1290.8,1290.7,1290.8
201805180718,1290.4,1290.4,1290.3,1290.4,1290.8,1290.8,1290.7,1290.8
201805180719,1290.4,1290.4,1290.4,1290.4,1290.8,1290.8,1290.8,1290.8
201805180720,1290.4,1290.5,1290.4,1290.4,1290.8,1290.9,1290.8,1290.8
201805180721,1290.4,1290.4,1290.4,1290.4,1290.8,1290.8,1290.8,1290.8
201805180722,1290.4,1290.4,1290.3,1290.4,1290.8,1290.8,1290.7,1290.8
201805180723,1290.4,1290.4,1290.3,1290.4,1290.8,1290.8,1290.7,1290.8
201805180724,1290.4,1290.4,1290.3,1290.3,1290.8,1290.8,1290.7,1290.7
201805180725,1290.3,1290.3,1290.1,1290.1,1290.7,1290.7,1290.5,1290.5
201805180726,1290.1,1290.1,1290,1290,1290.5,1290.5,1290.4,1290.4
201805180727,1290,1290.1,1290,1290.1,1290.4,1290.5,1290.4,1290.5
201805180728,1290.1,1290.2,1290.1,1290.2,1290.5,1290.6,1290.5,1290.6
201805180729,1290.2,1290.3,1290.2,1290.3,1290.6,1290.7,1290.6,1290.7
201805180730,1290.3,1290.7,1290.2,1290.6,1290.7,1291.1,1290.6,1291
201805180731,1290.6,1290.6,1290.6,1290.6,1291,1291,1291,1291
201805180732,1290.6,1290.7,1290.5,1290.5,1291,1291.1,1290.9,1290.9
201805180733,1290.5,1290.6,1290.4,1290.4,1290.9,1291,1290.8,1290.8
201805180734,1290.4,1290.4,1290.3,1290.3,1290.8,1290.8,1290.7,1290.7
201805180735,1290.3,1290.4,1290.3,1290.4,1290.7,1290.8,1290.7,1290.8
201805180736,1290.4,1290.4,1290.4,1290.4,1290.8,1290.8,1290.8,1290.8
201805180737,1290.4,1290.4,1290.4,1290.4,1290.8,1290.8,1290.8,1290.8
201805180738,1290.4,1290.4,1290.4,1290.4,1290.8,1290.8,1290.8,1290.8
201805180739,1290.4,1290.4,1290.4,1290.4,1290.8,1290.8,1290.8,1290.8
201805180740,1290.4,1290.4,1290.3,1290.3,1290.8,1290.8,1290.7,1290.7
201805180741,1290.3,1290.3,1290.1,1290.1,1290.7,1290.7,1290.5,1290.5
201805180742,1290.1,1290.2,1290,1290.1,1290.5,1290.6,1290.4,1290.5
201805180743,1290.1,1290.1,1289.9,1289.9,1290.5,1290.5,1290.3,1290.3
201805180744,1289.9,1290,1289.9,1289.9,1290.3,1290.4,1290.3,1290.3
201805180745,1289.9,1290,1289.9,1289.9,1290.3,1290.4,1290.3,1290.3
201805180746,1289.9,1290.1,1289.9,1290.1,1290.3,1290.5,1290.3,1290.5
201805180747,1290.1,1290.1,1290.1,1290.1,1290.5,1290.5,1290.5,1290.5
201805180748,1290.1,1290.1,1290.1,1290.1,1290.5,1290.5,1290.5,1290.5
201805180749,1290.1,1290.1,1289.9,1289.9,1290.5,1290.5,1290.3,1290.3
201805180750,1289.9,1290.1,1289.9,1290.1,1290.3,1290.5,1290.3,1290.5
201805180751,1290.1,1290.1,1290,1290,1290.5,1290.5,1290.4,1290.4
201805180752,1290,1290.1,1290,1290.1,1290.4,1290.5,1290.4,1290.5
201805180753,1290.1,1290.1,1290.1,1290.1,1290.5,1290.5,1290.5,1290.5
201805180754,1290.1,1290.1,1290.1,1290.1,1290.5,1290.5,1290.5,1290.5
201805180755,1290.1,1290.2,1290.1,1290.2,1290.5,1290.6,1290.5,1290.6
201805180756,1290.2,1290.2,1290.2,1290.2,1290.6,1290.6,1290.6,1290.6
201805180757,1290.2,1290.4,1290.2,1290.4,1290.6,1290.8,1290.6,1290.8
201805180758,1290.4,1290.4,1290.4,1290.4,1290.8,1290.8,1290.8,1290.8
201805180759,1290.4,1290.5,1290.4,1290.4,1290.8,1290.9,1290.8,1290.8
201805180800,1290.4,1290.4,1290.4,1290.4,1290.8,1290.8,1290.8,1290.8
201805180801,1290.4,1290.4,1290.3,1290.4,1290.8,1290.8,1290.7,1290.8
201805180802,1290.4,1290.4,1290.4,1290.4,1290.8,1290.8,1290.8,1290.8
201805180803,1290.4,1290.4,1290.3,1290.3,1290.8,1290.8,1290.7,1290.7
201805180804,1290.3,1290.3,1290.3,1290.3,1290.7,1290.7,1290.7,1290.7
201805180805,1290.3,1290.4,1290.3,1290.3,1290.7,1290.8,1290.7,1290.7
201805180806,1290.3,1290.4,1290.3,1290.4,1290.7,1290.8,1290.7,1290.8
201805180807,1290.4,1290.4,1290.4,1290.4,1290.8,1290.8,1290.8,1290.8
201805180808,1290.4,1290.5,1290.4,1290.5,1290.8,1290.9,1290.8,1290.9
201805180809,1290.5,1290.5,1290.4,1290.4,1290.9,1290.9,1290.8,1290.8
