日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202008040700,1976.3,1977.5,1976.2,1976.4,1977.2,1977.9,1977.2,1977.5
202008040701,1976.5,1976.7,1976.2,1976.6,1977.4,1977.4,1976.9,1977.3
202008040702,1976.7,1977.3,1976.5,1977.1,1977.3,1977.9,1977.2,1977.9
202008040703,1977.1,1977.1,1976.6,1976.9,1977.9,1978,1977.4,1977.5
202008040704,1976.9,1977.5,1976.9,1977.2,1977.5,1978.1,1977.5,1977.9
202008040705,1977.3,1977.5,1977.2,1977.2,1978,1978.2,1978,1978
202008040706,1977.2,1977.3,1976.6,1976.8,1978,1978,1977.3,1977.6
202008040707,1976.8,1977,1976,1976,1977.6,1977.7,1976.8,1976.9
202008040708,1976,1976.7,1976,1976.5,1976.9,1977.4,1976.8,1977.3
202008040709,1976.5,1976.7,1976.5,1976.6,1977.3,1977.4,1977.2,1977.2
202008040710,1976.5,1976.6,1976.3,1976.3,1977.2,1977.2,1976.9,1976.9
202008040711,1976.2,1976.2,1975.4,1975.4,1976.9,1976.9,1976.2,1976.2
202008040712,1975.4,1975.8,1975.4,1975.7,1976.2,1976.5,1976.2,1976.4
202008040713,1975.7,1975.8,1975.7,1975.7,1976.4,1976.5,1976.4,1976.4
202008040714,1975.7,1975.8,1975.5,1975.6,1976.4,1976.5,1976.3,1976.3
202008040715,1975.6,1975.8,1975.5,1975.6,1976.3,1976.5,1976.3,1976.3
202008040716,1975.6,1975.7,1975.6,1975.6,1976.4,1976.4,1976.3,1976.4
202008040717,1975.6,1975.6,1975.4,1975.4,1976.4,1976.4,1976.2,1976.2
202008040718,1975.4,1975.5,1975.2,1975.2,1976.2,1976.2,1976,1976
202008040719,1975.2,1975.3,1974.8,1975,1976,1976,1975.6,1975.7
202008040720,1975,1975,1974.8,1974.8,1975.6,1975.7,1975.5,1975.5
202008040721,1974.8,1974.9,1974.6,1974.9,1975.5,1975.7,1975.3,1975.6
202008040722,1974.9,1975,1974.8,1974.9,1975.6,1975.7,1975.5,1975.6
202008040723,1974.9,1975,1974.9,1974.9,1975.6,1975.6,1975.5,1975.6
