日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
201901300800,1311.4,1311.7,1311.4,1311.6,1311.8,1312.1,1311.8,1312
201901300801,1311.6,1311.7,1311.6,1311.6,1312,1312.1,1312,1312
201901300802,1311.7,1311.7,1311.6,1311.7,1312.1,1312.1,1312,1312.1
201901300803,1311.7,1311.7,1311.7,1311.7,1312.1,1312.1,1312.1,1312.1
201901300804,1311.7,1311.7,1311.6,1311.6,1312.1,1312.1,1312,1312
201901300805,1311.5,1311.5,1311.4,1311.5,1311.9,1311.9,1311.8,1311.9
201901300806,1311.5,1311.6,1311.4,1311.4,1311.9,1312,1311.8,1311.8
201901300807,1311.4,1311.4,1311.2,1311.2,1311.8,1311.8,1311.6,1311.6
201901300808,1311.2,1311.3,1311.2,1311.2,1311.6,1311.7,1311.6,1311.6
201901300809,1311.2,1311.2,1311.1,1311.1,1311.6,1311.6,1311.5,1311.5
201901300810,1311.1,1311.1,1311.1,1311.1,1311.5,1311.5,1311.5,1311.5
201901300811,1311.1,1311.1,1311.1,1311.1,1311.5,1311.5,1311.5,1311.5
201901300812,1311.1,1311.1,1311.1,1311.1,1311.5,1311.5,1311.5,1311.5
201901300813,1311.1,1311.1,1311.1,1311.1,1311.5,1311.5,1311.5,1311.5
201901300814,1311.1,1311.1,1310.9,1310.9,1311.5,1311.5,1311.3,1311.3
201901300815,1310.9,1310.9,1310.8,1310.9,1311.3,1311.3,1311.2,1311.3
201901300816,1310.9,1310.9,1310.7,1310.8,1311.3,1311.3,1311.1,1311.2
201901300817,1310.8,1310.9,1310.8,1310.9,1311.2,1311.3,1311.2,1311.3
201901300818,1310.9,1310.9,1310.9,1310.9,1311.3,1311.3,1311.3,1311.3
201901300819,1310.9,1310.9,1310.9,1310.9,1311.3,1311.3,1311.3,1311.3
201901300820,1310.9,1310.9,1310.8,1310.8,1311.3,1311.3,1311.2,1311.2
201901300821,1310.8,1310.8,1310.8,1310.8,1311.2,1311.2,1311.2,1311.2
201901300822,1310.8,1310.8,1310.6,1310.6,1311.2,1311.2,1311,1311
201901300823,1310.6,1310.7,1310.6,1310.7,1311,1311.1,1311,1311.1
201901300824,1310.7,1310.7,1310.7,1310.7,1311.1,1311.1,1311.1,1311.1
201901300825,1310.7,1310.8,1310.7,1310.8,1311.1,1311.2,1311.1,1311.2
201901300826,1310.8,1310.8,1310.8,1310.8,1311.2,1311.2,1311.2,1311.2
201901300827,1310.8,1310.8,1310.8,1310.8,1311.2,1311.2,1311.2,1311.2
201901300828,1310.8,1310.8,1310.7,1310.7,1311.2,1311.2,1311.1,1311.1
201901300829,1310.7,1310.7,1310.6,1310.6,1311.1,1311.1,1311,1311
201901300830,1310.6,1310.6,1310.6,1310.6,1311,1311,1311,1311
201901300831,1310.6,1310.6,1310.6,1310.6,1311,1311,1311,1311
201901300832,1310.6,1310.6,1310.6,1310.6,1311,1311,1311,1311
201901300833,1310.6,1310.8,1310.6,1310.8,1311,1311.2,1311,1311.2
201901300834,1310.8,1310.9,1310.8,1310.9,1311.2,1311.3,1311.2,1311.3
201901300835,1310.9,1311,1310.9,1311,1311.3,1311.4,1311.3,1311.4
201901300836,1311,1311.1,1311,1311.1,1311.4,1311.5,1311.4,1311.5
201901300837,1311.1,1311.1,1311.1,1311.1,1311.5,1311.5,1311.5,1311.5
201901300838,1311.1,1311.1,1311.1,1311.1,1311.5,1311.5,1311.5,1311.5
201901300839,1311.1,1311.1,1311.1,1311.1,1311.5,1311.5,1311.5,1311.5
201901300840,1311.1,1311.2,1311.1,1311.2,1311.5,1311.6,1311.5,1311.6
201901300841,1311.2,1311.2,1311.1,1311.1,1311.6,1311.6,1311.5,1311.5
201901300842,1311.1,1311.1,1311.1,1311.1,1311.5,1311.5,1311.5,1311.5
201901300843,1311.1,1311.2,1311.1,1311.2,1311.5,1311.6,1311.5,1311.6
201901300844,1311.2,1311.2,1311.1,1311.2,1311.6,1311.6,1311.5,1311.6
201901300845,1311.2,1311.2,1311,1311.1,1311.6,1311.6,1311.4,1311.5
201901300846,1311.1,1311.1,1311,1311,1311.5,1311.5,1311.4,1311.4
