日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202103230700,1739,1739.1,1739,1739.1,1739.6,1739.8,1739.5,1739.7
202103230701,1739.1,1739.5,1739.1,1739.4,1739.6,1739.9,1739.6,1739.8
202103230702,1739.4,1739.5,1739.4,1739.5,1739.8,1740,1739.8,1739.9
202103230703,1739.5,1739.5,1739.4,1739.4,1739.9,1739.9,1739.8,1739.8
202103230704,1739.4,1739.6,1739.4,1739.5,1739.8,1740,1739.8,1739.9
202103230705,1739.5,1739.5,1739.1,1739.2,1739.9,1739.9,1739.5,1739.6
202103230706,1739.2,1739.2,1739,1739,1739.6,1739.6,1739.4,1739.4
202103230707,1739,1739.1,1738.9,1738.9,1739.4,1739.5,1739.3,1739.3
202103230708,1738.9,1739,1738.8,1738.8,1739.3,1739.4,1739.2,1739.2
202103230709,1738.8,1738.8,1738.7,1738.7,1739.2,1739.2,1739.1,1739.1
202103230710,1738.7,1738.8,1738.7,1738.8,1739.1,1739.2,1739.1,1739.2
202103230711,1738.8,1738.9,1738.8,1738.8,1739.2,1739.3,1739.2,1739.2
202103230712,1738.8,1738.8,1738.8,1738.8,1739.2,1739.2,1739.2,1739.2
202103230713,1738.8,1739,1738.8,1738.9,1739.2,1739.4,1739.2,1739.3
202103230714,1738.9,1739,1738.9,1738.9,1739.3,1739.4,1739.3,1739.3
202103230715,1738.9,1739.1,1738.9,1739,1739.3,1739.5,1739.3,1739.4
202103230716,1739,1739.2,1739,1739.1,1739.4,1739.6,1739.4,1739.5
202103230717,1739.1,1739.2,1739,1739.1,1739.5,1739.6,1739.4,1739.5
202103230718,1739.1,1739.1,1739.1,1739.1,1739.5,1739.5,1739.5,1739.5
202103230719,1739.1,1739.2,1739.1,1739.2,1739.5,1739.6,1739.5,1739.6
202103230720,1739.2,1739.2,1739.1,1739.1,1739.6,1739.6,1739.5,1739.5
202103230721,1739.1,1739.2,1739.1,1739.1,1739.5,1739.6,1739.5,1739.5
202103230722,1739.1,1739.1,1739.1,1739.1,1739.5,1739.5,1739.5,1739.5
202103230723,1739.1,1739.3,1739.1,1739.3,1739.5,1739.7,1739.5,1739.7
202103230724,1739.3,1739.4,1739.3,1739.3,1739.7,1739.8,1739.7,1739.7
202103230725,1739.3,1739.5,1739.3,1739.5,1739.7,1739.9,1739.7,1739.9
202103230726,1739.5,1739.5,1739.5,1739.5,1739.9,1739.9,1739.9,1739.9
202103230727,1739.5,1739.5,1739.2,1739.2,1739.9,1739.9,1739.6,1739.6
202103230728,1739.2,1739.3,1739.2,1739.3,1739.6,1739.7,1739.6,1739.7
202103230729,1739.3,1739.3,1739,1739,1739.7,1739.7,1739.4,1739.4
202103230730,1739,1739.1,1739,1739,1739.4,1739.5,1739.4,1739.4
202103230731,1739,1739,1738.8,1738.8,1739.4,1739.4,1739.2,1739.2
202103230732,1738.8,1739.1,1738.8,1739,1739.2,1739.5,1739.2,1739.4
202103230733,1739,1739,1738.8,1738.8,1739.4,1739.4,1739.2,1739.2
202103230734,1738.8,1738.8,1738.8,1738.8,1739.2,1739.2,1739.2,1739.2
202103230735,1738.8,1738.8,1738.7,1738.7,1739.2,1739.2,1739.1,1739.1
202103230736,1738.7,1738.8,1738.5,1738.5,1739.1,1739.2,1738.9,1738.9
202103230737,1738.5,1738.6,1738.3,1738.3,1738.9,1739,1738.7,1738.7
202103230738,1738.3,1738.4,1738.3,1738.3,1738.7,1738.8,1738.7,1738.7
202103230739,1738.3,1738.4,1738.3,1738.4,1738.7,1738.8,1738.7,1738.8
202103230740,1738.4,1738.5,1738.4,1738.5,1738.8,1738.9,1738.8,1738.9
202103230741,1738.5,1738.5,1738.4,1738.4,1738.9,1738.9,1738.8,1738.8
202103230742,1738.4,1738.6,1738.4,1738.6,1738.8,1739,1738.8,1739
202103230743,1738.6,1738.8,1738.4,1738.8,1739,1739.2,1738.8,1739.2
202103230744,1738.8,1739,1738.8,1739,1739.2,1739.4,1739.2,1739.4
202103230745,1739.1,1739.6,1739.1,1739.4,1739.5,1740,1739.5,1739.8
202103230746,1739.4,1739.6,1739.4,1739.4,1739.8,1740,1739.8,1739.8
202103230747,1739.4,1739.4,1739.4,1739.4,1739.8,1739.8,1739.8,1739.8
202103230748,1739.4,1739.4,1739.2,1739.2,1739.8,1739.8,1739.6,1739.6
202103230749,1739.2,1739.6,1739.2,1739.5,1739.6,1740,1739.6,1739.9
202103230750,1739.5,1739.7,1739.5,1739.6,1739.9,1740.1,1739.9,1740
202103230751,1739.6,1739.7,1739.5,1739.6,1740,1740.1,1739.9,1740
202103230752,1739.6,1739.7,1739.5,1739.5,1740,1740.1,1739.9,1739.9
202103230753,1739.5,1739.6,1739.3,1739.3,1739.9,1740,1739.7,1739.7
202103230754,1739.3,1739.4,1739.3,1739.4,1739.7,1739.8,1739.7,1739.8
202103230755,1739.4,1739.6,1739.4,1739.5,1739.8,1740,1739.8,1739.9
202103230756,1739.5,1739.5,1739.4,1739.5,1739.9,1739.9,1739.8,1739.9
202103230757,1739.5,1739.5,1739.5,1739.5,1739.9,1739.9,1739.9,1739.9
202103230758,1739.5,1739.5,1739.5,1739.5,1739.9,1739.9,1739.9,1739.9
202103230759,1739.5,1739.5,1739.4,1739.5,1739.9,1739.9,1739.8,1739.9
202103230800,1739.5,1739.5,1739.3,1739.3,1739.9,1739.9,1739.7,1739.7
202103230801,1739.3,1739.4,1739.3,1739.3,1739.7,1739.8,1739.7,1739.7
202103230802,1739.3,1739.5,1739.3,1739.4,1739.7,1739.9,1739.7,1739.8
202103230803,1739.4,1739.5,1739.3,1739.5,1739.8,1739.9,1739.7,1739.9
202103230804,1739.5,1739.5,1739.5,1739.5,1739.9,1739.9,1739.9,1739.9
202103230805,1739.5,1739.5,1739.5,1739.5,1739.9,1739.9,1739.9,1739.9
202103230806,1739.5,1739.6,1739.5,1739.5,1739.9,1740,1739.9,1739.9
202103230807,1739.5,1739.6,1739.5,1739.6,1739.9,1740,1739.9,1740
202103230808,1739.6,1739.6,1739.4,1739.4,1740,1740,1739.8,1739.8
202103230809,1739.4,1739.5,1739.4,1739.5,1739.8,1739.9,1739.8,1739.9
202103230810,1739.5,1739.5,1739.2,1739.3,1739.9,1739.9,1739.6,1739.7
202103230811,1739.3,1739.4,1739.3,1739.3,1739.7,1739.8,1739.7,1739.7
202103230812,1739.3,1739.4,1739.1,1739.2,1739.7,1739.8,1739.5,1739.6
202103230813,1739.2,1739.4,1739.1,1739.3,1739.6,1739.8,1739.5,1739.7
202103230814,1739.3,1739.3,1739,1739.1,1739.7,1739.7,1739.4,1739.5
202103230815,1739.1,1739.2,1739,1739.1,1739.5,1739.6,1739.4,1739.5
202103230816,1739.1,1739.1,1738.9,1739.1,1739.5,1739.5,1739.3,1739.5
202103230817,1739.1,1739.2,1739,1739,1739.5,1739.6,1739.4,1739.4
202103230818,1739,1739,1738.8,1738.9,1739.4,1739.4,1739.2,1739.3
202103230819,1738.9,1739,1738.9,1738.9,1739.3,1739.4,1739.3,1739.3
202103230820,1738.9,1739.1,1738.9,1739.1,1739.3,1739.5,1739.3,1739.5
202103230821,1739.1,1739.1,1739.1,1739.1,1739.5,1739.5,1739.5,1739.5
202103230822,1739.1,1739.1,1738.8,1738.8,1739.5,1739.5,1739.2,1739.2
202103230823,1738.8,1739,1738.8,1739,1739.2,1739.4,1739.2,1739.4
202103230824,1739,1739.1,1738.9,1738.9,1739.4,1739.5,1739.3,1739.3
202103230825,1738.9,1739.1,1738.9,1738.9,1739.3,1739.5,1739.3,1739.3
202103230826,1738.9,1739,1738.8,1739,1739.3,1739.4,1739.2,1739.4
202103230827,1739,1739,1738.9,1739,1739.4,1739.4,1739.3,1739.4
202103230828,1739,1739,1738.8,1738.8,1739.4,1739.4,1739.2,1739.2
202103230829,1738.8,1738.9,1738.8,1738.8,1739.2,1739.3,1739.2,1739.2
202103230830,1738.8,1739.1,1738.8,1739.1,1739.2,1739.5,1739.2,1739.5
202103230831,1739.1,1739.2,1739,1739.2,1739.5,1739.6,1739.4,1739.6
202103230832,1739.2,1739.2,1739.2,1739.2,1739.6,1739.6,1739.6,1739.6
202103230833,1739.2,1739.2,1739.1,1739.1,1739.6,1739.6,1739.5,1739.5
202103230834,1739.1,1739.2,1738.8,1738.8,1739.5,1739.6,1739.2,1739.2
202103230835,1738.8,1738.9,1738.5,1738.6,1739.2,1739.3,1738.9,1739
202103230836,1738.6,1738.7,1738.6,1738.6,1739,1739.1,1739,1739
202103230837,1738.6,1738.8,1738.6,1738.6,1739,1739.2,1739,1739
202103230838,1738.6,1738.8,1738.6,1738.7,1739,1739.2,1739,1739.1
202103230839,1738.7,1738.8,1738.5,1738.5,1739.1,1739.2,1738.9,1738.9
202103230840,1738.5,1738.7,1738.5,1738.7,1738.9,1739.1,1738.9,1739.1
202103230841,1738.7,1738.8,1738.7,1738.8,1739.1,1739.2,1739.1,1739.2
202103230842,1738.8,1738.9,1738.8,1738.8,1739.2,1739.3,1739.2,1739.2
202103230843,1738.8,1739,1738.8,1738.8,1739.2,1739.4,1739.2,1739.2
202103230844,1738.8,1738.8,1738.8,1738.8,1739.2,1739.2,1739.2,1739.2
202103230845,1738.8,1739,1738.6,1738.6,1739.2,1739.4,1739,1739
202103230846,1738.6,1738.8,1738.6,1738.8,1739,1739.2,1739,1739.2
202103230847,1738.8,1738.9,1738.8,1738.8,1739.2,1739.3,1739.2,1739.2
202103230848,1738.8,1738.9,1738.8,1738.9,1739.2,1739.3,1739.2,1739.3
202103230849,1738.9,1738.9,1738.6,1738.7,1739.3,1739.3,1739,1739.1
202103230850,1738.8,1738.8,1738.6,1738.6,1739.2,1739.2,1739,1739
202103230851,1738.6,1738.9,1738.6,1738.9,1739,1739.3,1739,1739.3
202103230852,1738.9,1738.9,1738.7,1738.7,1739.3,1739.3,1739.1,1739.1
202103230853,1738.7,1738.9,1738.6,1738.8,1739.1,1739.3,1739,1739.2
202103230854,1738.8,1738.8,1738.7,1738.8,1739.2,1739.2,1739.1,1739.2
202103230855,1738.8,1739,1738.8,1739,1739.2,1739.4,1739.2,1739.4
202103230856,1739,1739.3,1739,1739.3,1739.4,1739.7,1739.4,1739.7
202103230857,1739.3,1739.5,1739.3,1739.5,1739.7,1739.9,1739.7,1739.9
202103230858,1739.5,1739.7,1739.5,1739.5,1739.9,1740.1,1739.9,1739.9
202103230859,1739.5,1739.5,1739.2,1739.2,1739.9,1739.9,1739.6,1739.6
202103230900,1739.2,1739.6,1739.2,1739.5,1739.6,1740,1739.6,1739.9
202103230901,1739.5,1739.8,1739.5,1739.7,1739.9,1740.2,1739.9,1740.1
202103230902,1739.7,1739.9,1739.2,1739.2,1740.1,1740.3,1739.6,1739.6
