日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202204260700,1898.1,1898.4,1897.7,1898,1898.7,1899.6,1898.3,1899.6
202204260701,1898.5,1898.5,1898,1898.5,1899.4,1899.4,1898.9,1899
202204260702,1898.4,1898.6,1898.2,1898.4,1899,1899.4,1898.7,1899.4
202204260703,1898.4,1899.2,1898.4,1899.2,1899.4,1899.7,1899.3,1899.7
202204260704,1899.2,1899.3,1898.7,1898.8,1899.7,1900,1899.3,1899.3
202204260705,1898.8,1898.9,1898.3,1898.6,1899.3,1899.4,1898.9,1899.1
202204260706,1898.6,1898.9,1898.6,1898.9,1899.1,1899.4,1899.1,1899.4
202204260707,1898.9,1899.1,1898.8,1899,1899.4,1899.6,1899.3,1899.4
202204260708,1899,1899.5,1899,1899.3,1899.4,1899.9,1899.4,1899.7
202204260709,1899.3,1899.3,1899,1899,1899.7,1899.7,1899.4,1899.4
202204260710,1899,1899.1,1898.9,1899,1899.4,1899.5,1899.3,1899.4
202204260711,1899,1899.7,1899,1899.3,1899.4,1900.1,1899.4,1899.7
202204260712,1899.3,1899.3,1899.1,1899.2,1899.7,1899.7,1899.5,1899.6
202204260713,1899.2,1899.7,1899.2,1899.6,1899.6,1900.3,1899.6,1900.2
202204260714,1899.7,1899.7,1899.5,1899.5,1900.3,1900.3,1900,1900
202204260715,1899.5,1899.6,1899,1899,1900,1900.1,1899.5,1899.6
202204260716,1899,1899.1,1898.8,1898.9,1899.6,1899.6,1899.3,1899.4
202204260717,1898.9,1899,1898.7,1898.8,1899.3,1899.5,1899.2,1899.2
202204260718,1898.8,1899.1,1898.7,1899.1,1899.2,1899.7,1899.2,1899.7
202204260719,1899.1,1899.2,1899,1899.2,1899.7,1899.7,1899.4,1899.6
202204260720,1899.2,1899.2,1898.7,1899.1,1899.6,1899.6,1899.3,1899.5
202204260721,1899.1,1899.2,1899,1899.2,1899.5,1899.6,1899.4,1899.6
202204260722,1899.2,1899.5,1899.2,1899.4,1899.6,1899.9,1899.6,1899.8
202204260723,1899.4,1899.4,1899.2,1899.4,1899.8,1899.8,1899.6,1899.8
